method,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,seed
retrain,0.7120742458504346,0.23286079479432953,0.6191453004006933,0.47130761994355597,0.15462962962962962,0.18664395229982964,0.528692380056444,42
ensemble_old_3,0.7286407118165457,0.255307994757536,0.6224359727965544,0.458137347130762,0.1769622093023256,0.1543441226575809,0.541862652869238,42
ensemble_new_3,0.6545163394398227,0.18793503480278423,0.5118506170893924,0.3047977422389464,0.13584905660377358,0.140442930153322,0.6952022577610536,42
ensemble_all_6,0.7149531155596084,0.2522355843354918,0.5816585870345546,0.3847601128880527,0.18761467889908257,0.12068143100511074,0.6152398871119473,42
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,42
retrain,0.7034903947395834,0.23038634747570513,0.6115662771137303,0.45719661335841955,0.15399239543726237,0.18194207836456558,0.5428033866415805,123
ensemble_old_3,0.7304941015832213,0.26116479498563594,0.6306635153074402,0.4703668861712135,0.18076644974692696,0.154412265758092,0.5296331138287864,123
ensemble_new_3,0.6549603273176586,0.18740934145633883,0.5110601137341196,0.30385700846660396,0.13548657718120805,0.140442930153322,0.6961429915333961,123
ensemble_all_6,0.7167657989586221,0.2524570024570025,0.5828304253410147,0.38664158043273755,0.18741450068399454,0.12143100511073254,0.6133584195672624,123
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,123
retrain,0.7114908306502923,0.23139724749241894,0.6163318097685077,0.4666039510818438,0.15384615384615385,0.18589437819420784,0.5333960489181562,456
ensemble_old_3,0.7288373203671266,0.2580477673935618,0.628109617954469,0.46754468485418627,0.17820007171029043,0.1561839863713799,0.5324553151458138,456
ensemble_new_3,0.6602618348956139,0.19403417318273963,0.5205906859572333,0.31514581373471307,0.1401673640167364,0.14003407155025555,0.6848541862652869,456
ensemble_all_6,0.7168225955598007,0.2588739290085679,0.591277683496588,0.39793038570084666,0.19183673469387755,0.12143100511073254,0.6020696142991533,456
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,456
retrain,0.706939794641183,0.23428438877290653,0.6215078582753245,0.47507055503292567,0.15548029556650247,0.18691652470187395,0.5249294449670743,789
ensemble_old_3,0.7310489902737423,0.2636672770075857,0.633436222564602,0.47412982126058323,0.1826086956521739,0.15373083475298127,0.5258701787394168,789
ensemble_new_3,0.6556671437111066,0.1845444059976932,0.5081970819204373,0.30103480714957664,0.13305613305613306,0.14207836456558773,0.6989651928504234,789
ensemble_all_6,0.7172169024377345,0.25328846742122973,0.5847267828494022,0.3894637817497648,0.18766999093381687,0.12211243611584327,0.6105362182502352,789
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,789
retrain,0.7077898846278974,0.23833955223880596,0.6259483630702349,0.48071495766698025,0.15844961240310076,0.1849403747870528,0.5192850423330198,2024
ensemble_old_3,0.7309302687101051,0.2637247176254268,0.6325343837507179,0.4722483537158984,0.18294460641399418,0.15277683134582623,0.5277516462841016,2024
ensemble_new_3,0.6569176946092911,0.18731820826061663,0.510430170266506,0.3029162746942615,0.13557894736842105,0.1398977853492334,0.6970837253057385,2024
ensemble_all_6,0.7174591534037096,0.25770653514180025,0.5882056778398692,0.3932267168391345,0.1916552040348464,0.12013628620102215,0.6067732831608654,2024
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,2024
retrain,0.7060702809861197,0.23314606741573032,0.6180123962109315,0.4684854186265287,0.15518853225303833,0.18473594548551958,0.5315145813734713,7
ensemble_old_3,0.72935977217255,0.2613065326633166,0.6279280790054595,0.464722483537159,0.1817512877115526,0.1515502555366269,0.535277516462841,7
ensemble_new_3,0.6580991408392244,0.18376191852065876,0.5067070638346574,0.2991533396048918,0.13261050875729774,0.14173764906303238,0.7008466603951082,7
ensemble_all_6,0.7152825486673471,0.25353846153846155,0.5836974230302595,0.38758231420507994,0.18838591678097852,0.12095400340715502,0.6124176857949201,7
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,7
retrain,0.703571166429747,0.2352387673488591,0.619847091356673,0.4703668861712135,0.15683814303638646,0.1831686541737649,0.5296331138287864,21
ensemble_old_3,0.7287342403053938,0.2619994696367011,0.6281801880929874,0.464722483537159,0.18242245199409157,0.15086882453151618,0.535277516462841,21
ensemble_new_3,0.6567008290316532,0.18702513150204558,0.5091246336095026,0.30103480714957664,0.13565069944891903,0.13894378194207838,0.6989651928504234,21
ensemble_all_6,0.715278061351227,0.2537037037037037,0.5831919546773799,0.38664158043273755,0.18879191548001836,0.12034071550255537,0.6133584195672624,21
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,21
retrain,0.7097517392356498,0.23617619493908154,0.621983992726327,0.47412982126058323,0.15725429017160686,0.18405451448040885,0.5258701787394168,84
ensemble_old_3,0.7312086746231056,0.265826109797741,0.6351515881717892,0.4760112888052681,0.18440233236151604,0.15250425894378195,0.5239887111947319,84
ensemble_new_3,0.6584434461946758,0.1899506244554168,0.5143778715334056,0.30761994355597366,0.1373949579831933,0.1398977853492334,0.6923800564440263,84
ensemble_all_6,0.7173420344529723,0.2624462200368777,0.5944812902105421,0.40169332079021636,0.19488817891373802,0.12020442930153322,0.5983066792097836,84
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,84
retrain,0.707474362200131,0.23021246789633434,0.6144907918763745,0.46378174976481656,0.1531055900621118,0.18582623509369675,0.5362182502351834,168
ensemble_old_3,0.7288300124523023,0.2553520763476915,0.6261607803649177,0.4656632173095014,0.17590618336886993,0.15802385008517889,0.5343367826904986,168
ensemble_new_3,0.6585108200409948,0.1852279284477784,0.5090511590968385,0.3019755409219191,0.13358302122347065,0.1418739352640545,0.6980244590780809,168
ensemble_all_6,0.7164050828470739,0.25358122523620846,0.5859099357018709,0.3913452492944497,0.18755635707844906,0.122793867120954,0.6086547507055503,168
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,168
retrain,0.7080627775525216,0.23030303030303031,0.61495922488619,0.464722483537159,0.15308335915711188,0.1862350936967632,0.535277516462841,999
ensemble_old_3,0.7293275276010007,0.26006843906291127,0.6274740273885357,0.464722483537159,0.18055555555555555,0.15277683134582623,0.535277516462841,999
ensemble_new_3,0.6632514131039247,0.1932144910868315,0.5208711188771479,0.3160865475070555,0.1391304347826087,0.14166950596252129,0.6839134524929446,999
ensemble_all_6,0.7180538509986681,0.25458996328029376,0.5862057061959685,0.3913452492944497,0.18866213151927438,0.12190800681431005,0.6086547507055503,999
DES_KNORAE,0.7060872686828604,0.2509386733416771,0.5768115853559057,0.37723424270931327,0.18799812470698546,0.11802385008517888,0.6227657572906867,999
