split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.595257,0.045668,0.000000,1.000000,0.023368,1.000000,0.000000
split_1+15,Old,undersampling,0.621532,0.054696,0.554173,0.634146,0.028580,0.515715,0.365854
split_1+15,Old,oversampling,0.516800,0.040875,0.427927,0.247387,0.022278,0.259775,0.752613
split_1+15,Old,hybrid,0.502911,0.038066,0.460643,0.432056,0.019910,0.508879,0.567944
split_1+15,Retrain,none,0.770937,0.189438,0.606381,0.393728,0.124724,0.066111,0.606272
split_1+15,Retrain,undersampling,0.773949,0.171812,0.637199,0.445993,0.106401,0.089621,0.554007
split_1+15,Retrain,oversampling,0.761693,0.150657,0.588654,0.379791,0.093966,0.087620,0.620209
split_1+15,Retrain,hybrid,0.767821,0.154513,0.584825,0.372822,0.097450,0.082618,0.627178
split_1+15,Finetune,none,0.774222,0.153355,0.664240,0.501742,0.090509,0.120634,0.498258
split_1+15,Finetune,undersampling,0.802145,0.159593,0.660641,0.491289,0.095270,0.111630,0.508711
split_1+15,Finetune,oversampling,0.734256,0.148478,0.566168,0.348432,0.094340,0.080033,0.651568
split_1+15,Finetune,hybrid,0.787737,0.143248,0.634628,0.456446,0.084955,0.117632,0.543554
split_1+15,New,none,0.770978,0.138430,0.638693,0.466899,0.081261,0.126303,0.533101
split_1+15,New,undersampling,0.775794,0.119226,0.658969,0.526132,0.067231,0.174656,0.473868
split_1+15,New,oversampling,0.761905,0.136697,0.521294,0.292683,0.089172,0.071530,0.707317
split_1+15,New,hybrid,0.806879,0.163218,0.663850,0.494774,0.097729,0.109296,0.505226
split_2+14,Old,none,0.617064,0.048019,0.324428,0.937282,0.024640,0.887703,0.062718
split_2+14,Old,undersampling,0.599737,0.073719,0.479280,0.268293,0.042730,0.143810,0.731707
split_2+14,Old,oversampling,0.511748,0.040609,0.470989,0.376307,0.021463,0.410504,0.623693
split_2+14,Old,hybrid,0.540402,0.053659,0.369567,0.153310,0.032520,0.109129,0.846690
split_2+14,Finetune,none,0.790915,0.156199,0.663372,0.498258,0.092617,0.116799,0.501742
split_2+14,Finetune,undersampling,0.810391,0.131242,0.680218,0.554007,0.074438,0.164819,0.445993
split_2+14,Finetune,oversampling,0.763953,0.163326,0.594071,0.383275,0.103774,0.079200,0.616725
split_2+14,Finetune,hybrid,0.787743,0.141628,0.581467,0.372822,0.087418,0.093122,0.627178
split_2+14,New,none,0.775279,0.133687,0.668026,0.526132,0.076572,0.151813,0.473868
split_2+14,New,undersampling,0.765690,0.145100,0.641399,0.466899,0.085897,0.118883,0.533101
split_2+14,New,oversampling,0.742501,0.143284,0.554804,0.334495,0.091168,0.079783,0.665505
split_2+14,New,hybrid,0.784958,0.157895,0.641783,0.459930,0.095307,0.104460,0.540070
split_3+13,Old,none,0.652160,0.054410,0.482294,0.891986,0.028061,0.739225,0.108014
split_3+13,Old,undersampling,0.620378,0.054885,0.486776,0.895470,0.028310,0.735390,0.104530
split_3+13,Old,oversampling,0.501264,0.037459,0.272041,0.080139,0.024442,0.076532,0.919861
split_3+13,Old,hybrid,0.530874,0.051020,0.388128,0.174216,0.029886,0.135306,0.825784
split_3+13,Finetune,none,0.797067,0.138267,0.654022,0.494774,0.080362,0.135473,0.505226
split_3+13,Finetune,undersampling,0.803922,0.147808,0.663915,0.505226,0.086567,0.127553,0.494774
split_3+13,Finetune,oversampling,0.760490,0.143583,0.595980,0.393728,0.087801,0.097874,0.606272
split_3+13,Finetune,hybrid,0.788378,0.147297,0.587766,0.379791,0.091366,0.090371,0.620209
split_3+13,New,none,0.785063,0.140038,0.667781,0.519164,0.080934,0.141059,0.480836
split_3+13,New,undersampling,0.789661,0.134623,0.683952,0.557491,0.076555,0.160900,0.442509
split_3+13,New,oversampling,0.766403,0.155326,0.599248,0.393728,0.096747,0.087953,0.606272
split_3+13,New,hybrid,0.792550,0.163134,0.632726,0.442509,0.100000,0.095290,0.557491
split_4+12,Old,none,0.638525,0.061002,0.582044,0.585366,0.032178,0.421259,0.414634
split_4+12,Old,undersampling,0.615482,0.065704,0.503829,0.317073,0.036649,0.199416,0.682927
split_4+12,Old,oversampling,0.553491,0.049097,0.435007,0.236934,0.027386,0.201334,0.763066
split_4+12,Old,hybrid,0.563057,0.062280,0.404599,0.184669,0.037456,0.113547,0.815331
split_4+12,Finetune,none,0.816610,0.182419,0.661228,0.480836,0.112561,0.090704,0.519164
split_4+12,Finetune,undersampling,0.792556,0.161027,0.655107,0.480836,0.096706,0.107461,0.519164
split_4+12,Finetune,oversampling,0.771052,0.166237,0.637894,0.449477,0.101976,0.094706,0.550523
split_4+12,Finetune,hybrid,0.800593,0.179487,0.649912,0.463415,0.111297,0.088537,0.536585
split_4+12,New,none,0.776477,0.133865,0.668124,0.526132,0.076689,0.151563,0.473868
split_4+12,New,undersampling,0.803190,0.183819,0.669881,0.494774,0.112878,0.093039,0.505226
split_4+12,New,oversampling,0.776282,0.164192,0.553773,0.327526,0.109557,0.063693,0.672474
split_4+12,New,hybrid,0.796510,0.159155,0.600206,0.393728,0.099735,0.085035,0.606272
split_5+11,Old,none,0.614989,0.066986,0.474355,0.268293,0.038270,0.161317,0.731707
split_5+11,Old,undersampling,0.599065,0.066698,0.461763,0.250871,0.038462,0.150063,0.749129
split_5+11,Old,oversampling,0.537373,0.053571,0.373060,0.156794,0.032304,0.112380,0.843206
split_5+11,Old,hybrid,0.576163,0.062438,0.434727,0.219512,0.036395,0.139058,0.780488
split_5+11,Finetune,none,0.800218,0.161446,0.647048,0.466899,0.097597,0.103293,0.533101
split_5+11,Finetune,undersampling,0.793513,0.124814,0.690071,0.585366,0.069854,0.186494,0.414634
split_5+11,Finetune,oversampling,0.786489,0.159377,0.644330,0.463415,0.096237,0.104127,0.536585
split_5+11,Finetune,hybrid,0.810960,0.185919,0.657862,0.473868,0.115646,0.086703,0.526132
split_5+11,New,none,0.789137,0.179760,0.654241,0.470383,0.111111,0.090038,0.529617
split_5+11,New,undersampling,0.776734,0.169252,0.618771,0.418118,0.106101,0.084285,0.581882
split_5+11,New,oversampling,0.776551,0.176701,0.604049,0.393728,0.113911,0.073281,0.606272
split_5+11,New,hybrid,0.822023,0.188302,0.649799,0.459930,0.118386,0.081951,0.540070
split_6+10,Old,none,0.575449,0.056936,0.510652,0.355401,0.030947,0.266278,0.644599
split_6+10,Old,undersampling,0.638390,0.068092,0.568405,0.449477,0.036836,0.281201,0.550523
split_6+10,Old,oversampling,0.524111,0.056456,0.381564,0.163763,0.034107,0.110963,0.836237
split_6+10,Old,hybrid,0.591403,0.078078,0.407658,0.181185,0.049761,0.082784,0.818815
split_6+10,Finetune,none,0.791914,0.169705,0.651568,0.470383,0.103528,0.097457,0.529617
split_6+10,Finetune,undersampling,0.815439,0.162334,0.684748,0.533101,0.095745,0.120467,0.466899
split_6+10,Finetune,oversampling,0.788625,0.172965,0.617336,0.414634,0.109275,0.080867,0.585366
split_6+10,Finetune,hybrid,0.834022,0.187225,0.724724,0.592334,0.111184,0.113297,0.407666
split_6+10,New,none,0.790188,0.185500,0.670312,0.494774,0.114148,0.091872,0.505226
split_6+10,New,undersampling,0.781442,0.151279,0.647725,0.473868,0.090007,0.114631,0.526132
split_6+10,New,oversampling,0.777044,0.197183,0.569321,0.341463,0.138614,0.050771,0.658537
split_6+10,New,hybrid,0.814887,0.165453,0.697019,0.554007,0.097248,0.123051,0.445993
split_7+9,Old,none,0.571858,0.057091,0.430730,0.219512,0.032813,0.154815,0.780488
split_7+9,Old,undersampling,0.636881,0.074632,0.528918,0.344948,0.041843,0.188995,0.655052
split_7+9,Old,oversampling,0.600336,0.078964,0.446527,0.222997,0.047976,0.105877,0.777003
split_7+9,Old,hybrid,0.594487,0.073145,0.460698,0.243902,0.043024,0.129804,0.756098
split_7+9,Finetune,none,0.812503,0.159229,0.690907,0.547038,0.093175,0.127386,0.452962
split_7+9,Finetune,undersampling,0.809962,0.176255,0.671879,0.501742,0.106904,0.100292,0.498258
split_7+9,Finetune,oversampling,0.785815,0.164598,0.630956,0.439024,0.101286,0.093206,0.560976
split_7+9,Finetune,hybrid,0.814784,0.156102,0.703743,0.574913,0.090312,0.138558,0.425087
split_7+9,New,none,0.806683,0.199128,0.662922,0.477352,0.125803,0.079366,0.522648
split_7+9,New,undersampling,0.797627,0.218324,0.608149,0.390244,0.151556,0.052272,0.609756
split_7+9,New,oversampling,0.768279,0.179592,0.539588,0.306620,0.126984,0.050438,0.693380
split_7+9,New,hybrid,0.830653,0.190164,0.677635,0.505226,0.117124,0.091121,0.494774
split_8+8,Old,none,0.673431,0.083208,0.559971,0.386760,0.046619,0.189246,0.613240
split_8+8,Old,undersampling,0.634525,0.081162,0.493887,0.282230,0.047396,0.135723,0.717770
split_8+8,Old,oversampling,0.597735,0.068643,0.375706,0.153310,0.044221,0.079283,0.846690
split_8+8,Old,hybrid,0.638264,0.072871,0.471107,0.257840,0.042431,0.139225,0.742160
split_8+8,Finetune,none,0.801333,0.135274,0.680980,0.550523,0.077111,0.157649,0.449477
split_8+8,Finetune,undersampling,0.796921,0.153611,0.677577,0.526132,0.089934,0.127386,0.473868
