metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6297,0.6671,0.6011,0.6641
AUC,New,0.8095,0.7764,0.7673,0.7784
AUC,Retrain,0.7678,0.7709,0.7617,0.7739
AUC,Finetune,0.8136,0.7994,0.7860,0.7966
F1,Old,0.0825,0.0817,0.0740,0.0901
F1,New,0.1804,0.1864,0.1757,0.1838
F1,Retrain,0.1545,0.1894,0.1507,0.1718
F1,Finetune,0.1628,0.1487,0.1631,0.1511
G_Mean,Old,0.4762,0.5085,0.4486,0.5445
G_Mean,New,0.6439,0.6046,0.5491,0.5996
G_Mean,Retrain,0.5848,0.6064,0.5887,0.6372
G_Mean,Finetune,0.6858,0.6735,0.6268,0.6677
Recall,Old,0.2775,0.5388,0.2456,0.4194
Recall,New,0.4555,0.4059,0.3233,0.4012
Recall,Retrain,0.3728,0.3937,0.3798,0.4460
Recall,Finetune,0.5426,0.5281,0.4368,0.5127
Precision,Old,0.0493,0.0457,0.0445,0.0519
Precision,New,0.1131,0.1306,0.1241,0.1308
Precision,Retrain,0.0974,0.1247,0.0940,0.1064
Precision,Finetune,0.0965,0.0871,0.1011,0.0890
