old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.7742,0.8021,0.7343,0.7877,0.7746
2+14,0.7909,0.8104,0.7640,0.7877,0.7883
3+13,0.7971,0.8039,0.7605,0.7884,0.7875
4+12,0.8166,0.7926,0.7711,0.8006,0.7952
5+11,0.8002,0.7935,0.7865,0.8110,0.7978
6+10,0.7919,0.8154,0.7886,0.8340,0.8075
7+9,0.8125,0.8100,0.7858,0.8148,0.8058
8+8,0.8013,0.7969,0.8077,0.8372,0.8108
9+7,0.7943,0.7854,0.7862,0.8142,0.7950
10+6,0.8038,0.7926,0.8044,0.8108,0.8029
11+5,0.8032,0.8038,0.8135,0.8321,0.8132
12+4,0.8025,0.7829,0.8082,0.8196,0.8033
13+3,0.8045,0.7845,0.8072,0.8149,0.8028
14+2,0.7986,0.7784,0.7855,0.8369,0.7999
avg,0.7994,0.7966,0.7860,0.8136,0.7989
