new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1384,0.1192,0.1367,0.1632,0.1394
14yr,0.1337,0.1451,0.1433,0.1579,0.1450
13yr,0.1400,0.1346,0.1553,0.1631,0.1483
12yr,0.1339,0.1838,0.1642,0.1592,0.1603
11yr,0.1798,0.1693,0.1767,0.1883,0.1785
10yr,0.1855,0.1513,0.1972,0.1655,0.1749
9yr,0.1991,0.2183,0.1796,0.1902,0.1968
8yr,0.2277,0.2579,0.1860,0.1913,0.2157
7yr,0.1944,0.2027,0.1786,0.1967,0.1931
6yr,0.2199,0.1836,0.1763,0.1916,0.1929
5yr,0.2327,0.1973,0.2141,0.1984,0.2106
4yr,0.2023,0.1914,0.2051,0.1977,0.1991
3yr,0.1997,0.1938,0.1702,0.1807,0.1861
2yr,0.2226,0.2244,0.1768,0.1825,0.2016
avg,0.1864,0.1838,0.1757,0.1804,0.1816
