old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0457,0.0547,0.0409,0.0381,0.0448
2yr,0.0480,0.0737,0.0406,0.0537,0.0540
3yr,0.0544,0.0549,0.0375,0.0510,0.0494
4yr,0.0610,0.0657,0.0491,0.0623,0.0595
5yr,0.0670,0.0667,0.0536,0.0624,0.0624
6yr,0.0569,0.0681,0.0565,0.0781,0.0649
7yr,0.0571,0.0746,0.0790,0.0731,0.0710
8yr,0.0832,0.0812,0.0686,0.0729,0.0765
9yr,0.0739,0.1025,0.0786,0.0810,0.0840
10yr,0.0850,0.1244,0.1043,0.0996,0.1033
11yr,0.1157,0.1270,0.0981,0.1045,0.1113
12yr,0.1212,0.1090,0.1203,0.1127,0.1158
13yr,0.1428,0.1258,0.1009,0.1181,0.1219
14yr,0.1317,0.1326,0.1085,0.1469,0.1299
avg,0.0817,0.0901,0.0740,0.0825,0.0821
