old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6642,0.6606,0.5662,0.6346,0.6314
2+14,0.6634,0.6802,0.5941,0.5815,0.6298
3+13,0.6540,0.6639,0.5960,0.5878,0.6254
4+12,0.6612,0.6551,0.6379,0.6499,0.6510
5+11,0.6470,0.6901,0.6443,0.6579,0.6598
6+10,0.6516,0.6847,0.6173,0.7247,0.6696
7+9,0.6909,0.6719,0.6310,0.7037,0.6744
8+8,0.6810,0.6776,0.5975,0.7602,0.6791
9+7,0.6485,0.6593,0.6228,0.6831,0.6534
10+6,0.7021,0.6621,0.6139,0.7163,0.6736
11+5,0.6968,0.6686,0.6853,0.7245,0.6938
12+4,0.7040,0.6511,0.7083,0.7256,0.6973
13+3,0.6958,0.6661,0.6682,0.7230,0.6883
14+2,0.6686,0.6562,0.5921,0.7279,0.6612
avg,0.6735,0.6677,0.6268,0.6858,0.6634
