new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6387,0.6590,0.5213,0.6639,0.6207
14yr,0.6680,0.6414,0.5548,0.6418,0.6265
13yr,0.6678,0.6840,0.5992,0.6327,0.6459
12yr,0.6681,0.6699,0.5538,0.6002,0.6230
11yr,0.6542,0.6188,0.6040,0.6498,0.6317
10yr,0.6703,0.6477,0.5693,0.6970,0.6461
9yr,0.6629,0.6081,0.5396,0.6776,0.6221
8yr,0.5939,0.5751,0.5985,0.6257,0.5983
7yr,0.6096,0.6230,0.4510,0.6220,0.5764
6yr,0.5664,0.6422,0.4544,0.6092,0.5680
5yr,0.5478,0.6125,0.6001,0.6692,0.6074
4yr,0.5155,0.4761,0.5566,0.6605,0.5522
3yr,0.4965,0.4484,0.5782,0.6545,0.5444
2yr,0.5045,0.4883,0.5069,0.6099,0.5274
avg,0.6046,0.5996,0.5491,0.6439,0.5993
