old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0000,0.5542,0.4279,0.4606,0.3607
2yr,0.3244,0.4793,0.4710,0.3696,0.4111
3yr,0.4823,0.4868,0.2720,0.3881,0.4073
4yr,0.5820,0.5038,0.4350,0.4046,0.4814
5yr,0.4744,0.4618,0.3731,0.4347,0.4360
6yr,0.5107,0.5684,0.3816,0.4077,0.4671
7yr,0.4307,0.5289,0.4465,0.4607,0.4667
8yr,0.5600,0.4939,0.3757,0.4711,0.4752
9yr,0.5862,0.4983,0.4744,0.5579,0.5292
10yr,0.6327,0.6083,0.5123,0.5444,0.5744
11yr,0.6395,0.5579,0.5249,0.5252,0.5619
12yr,0.6207,0.6190,0.5332,0.5178,0.5727
13yr,0.6156,0.6289,0.5310,0.5168,0.5731
14yr,0.6599,0.6341,0.5216,0.6083,0.6060
avg,0.5085,0.5445,0.4486,0.4762,0.4945
