old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0905,0.0953,0.0943,0.0850,0.0913
2+14,0.0926,0.0744,0.1038,0.0874,0.0896
3+13,0.0804,0.0866,0.0878,0.0914,0.0865
4+12,0.1126,0.0967,0.1020,0.1113,0.1056
5+11,0.0976,0.0699,0.0962,0.1156,0.0948
6+10,0.1035,0.0957,0.1093,0.1112,0.1049
7+9,0.0932,0.1069,0.1013,0.0903,0.0979
8+8,0.0771,0.0899,0.1316,0.0890,0.0969
9+7,0.0809,0.0796,0.0975,0.1093,0.0918
10+6,0.0796,0.1032,0.1144,0.1019,0.0998
11+5,0.0615,0.0992,0.0968,0.1004,0.0895
12+4,0.0750,0.0971,0.0869,0.0874,0.0866
13+3,0.0844,0.0707,0.1030,0.0810,0.0848
14+2,0.0912,0.0807,0.0900,0.0902,0.0880
avg,0.0871,0.0890,0.1011,0.0965,0.0934
