new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4669,0.5261,0.2927,0.4948,0.4451
14yr,0.5261,0.4669,0.3345,0.4599,0.4469
13yr,0.5192,0.5575,0.3937,0.4425,0.4782
12yr,0.5261,0.4948,0.3275,0.3937,0.4355
11yr,0.4704,0.4181,0.3937,0.4599,0.4355
10yr,0.4948,0.4739,0.3415,0.5540,0.4660
9yr,0.4774,0.3902,0.3066,0.5052,0.4199
8yr,0.3693,0.3415,0.3833,0.4216,0.3789
7yr,0.3972,0.4146,0.2091,0.4146,0.3589
6yr,0.3345,0.4495,0.2125,0.3972,0.3484
5yr,0.3101,0.4007,0.3798,0.4878,0.3946
4yr,0.2753,0.2334,0.3240,0.4739,0.3267
3yr,0.2544,0.2056,0.3589,0.4704,0.3223
2yr,0.2613,0.2439,0.2683,0.4007,0.2936
avg,0.4059,0.4012,0.3233,0.4555,0.3965
