old_years,none,undersampling,oversampling,hybrid,avg
1yr,1.0000,0.6341,0.2474,0.4321,0.5784
2yr,0.9373,0.2683,0.3763,0.1533,0.4338
3yr,0.8920,0.8955,0.0801,0.1742,0.5105
4yr,0.5854,0.3171,0.2369,0.1847,0.3310
5yr,0.2683,0.2509,0.1568,0.2195,0.2239
6yr,0.3554,0.4495,0.1638,0.1812,0.2875
7yr,0.2195,0.3449,0.2230,0.2439,0.2578
8yr,0.3868,0.2822,0.1533,0.2578,0.2700
9yr,0.4704,0.2753,0.2578,0.3868,0.3476
10yr,0.5505,0.4251,0.2927,0.3415,0.4024
11yr,0.4913,0.3449,0.3136,0.3101,0.3650
12yr,0.4495,0.4599,0.3136,0.2962,0.3798
13yr,0.4251,0.4599,0.3206,0.2927,0.3746
14yr,0.5122,0.4634,0.3031,0.4111,0.4225
avg,0.5388,0.4194,0.2456,0.2775,0.3703
