new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1263,0.1747,0.0715,0.1093,0.1204
14yr,0.1518,0.1189,0.0798,0.1045,0.1137
13yr,0.1411,0.1609,0.0880,0.0953,0.1213
12yr,0.1516,0.0930,0.0637,0.0850,0.0983
11yr,0.0900,0.0843,0.0733,0.0820,0.0824
10yr,0.0919,0.1146,0.0508,0.1231,0.0951
9yr,0.0794,0.0523,0.0504,0.0911,0.0683
8yr,0.0449,0.0313,0.0655,0.0714,0.0533
7yr,0.0644,0.0640,0.0271,0.0670,0.0556
6yr,0.0409,0.0825,0.0287,0.0658,0.0544
5yr,0.0324,0.0637,0.0519,0.0820,0.0575
4yr,0.0346,0.0288,0.0439,0.0794,0.0467
3yr,0.0309,0.0219,0.0684,0.0894,0.0526
2yr,0.0260,0.0223,0.0423,0.0715,0.0405
avg,0.0790,0.0795,0.0575,0.0869,0.0757
