old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4983,0.5087,0.6516,0.5436,0.5505
2+14,0.5017,0.4460,0.6167,0.6272,0.5479
3+13,0.5052,0.4948,0.6063,0.6202,0.5566
4+12,0.5192,0.5192,0.5505,0.5366,0.5314
5+11,0.5331,0.4146,0.5366,0.5261,0.5026
6+10,0.5296,0.4669,0.5854,0.4077,0.4974
7+9,0.4530,0.4983,0.5610,0.4251,0.4843
8+8,0.4495,0.4739,0.6202,0.3031,0.4617
9+7,0.5157,0.4948,0.5714,0.4808,0.5157
10+6,0.4111,0.5122,0.5923,0.4146,0.4826
11+5,0.3693,0.4983,0.4669,0.3972,0.4329
12+4,0.3972,0.5261,0.4111,0.3763,0.4277
13+3,0.4321,0.4669,0.5017,0.3693,0.4425
14+2,0.4913,0.5017,0.6132,0.3763,0.4956
avg,0.4719,0.4873,0.5632,0.4574,0.4950
