old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0000,0.3659,0.7526,0.5679,0.4216
2yr,0.0627,0.7317,0.6237,0.8467,0.5662
3yr,0.1080,0.1045,0.9199,0.8258,0.4895
4yr,0.4146,0.6829,0.7631,0.8153,0.6690
5yr,0.7317,0.7491,0.8432,0.7805,0.7761
6yr,0.6446,0.5505,0.8362,0.8188,0.7125
7yr,0.7805,0.6551,0.7770,0.7561,0.7422
8yr,0.6132,0.7178,0.8467,0.7422,0.7300
9yr,0.5296,0.7247,0.7422,0.6132,0.6524
10yr,0.4495,0.5749,0.7073,0.6585,0.5976
11yr,0.5087,0.6551,0.6864,0.6899,0.6350
12yr,0.5505,0.5401,0.6864,0.7038,0.6202
13yr,0.5749,0.5401,0.6794,0.7073,0.6254
14yr,0.4878,0.5366,0.6969,0.5889,0.5775
avg,0.4612,0.5806,0.7544,0.7225,0.6297
