metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6426,0.6339,0.6376,0.6357
AUC,New,0.6561,0.6495,0.6537,0.6506
AUC,Retrain,0.6601,0.6613,0.6602,0.6596
F1,Old,0.2426,0.2411,0.2437,0.2420
F1,New,0.2568,0.2518,0.2574,0.2541
F1,Retrain,0.2673,0.2543,0.2608,0.2560
G_Mean,Old,0.5905,0.5732,0.5805,0.5853
G_Mean,New,0.5710,0.5664,0.5621,0.5703
G_Mean,Retrain,0.5858,0.6013,0.6079,0.5988
Recall,Old,0.5340,0.4766,0.4790,0.5038
Recall,New,0.4327,0.4264,0.4017,0.4279
Recall,Retrain,0.4407,0.5228,0.5284,0.5062
Precision,Old,0.1577,0.1642,0.1641,0.1598
Precision,New,0.1882,0.1824,0.1924,0.1831
Precision,Retrain,0.1918,0.1680,0.1732,0.1713
