split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+7,Old,none,0.591090,0.215177,0.561666,0.529303,0.135036,0.403992,0.470697
split_1+7,Old,undersampling,0.594981,0.219109,0.563644,0.501615,0.140168,0.366656,0.498385
split_1+7,Old,oversampling,0.601544,0.219388,0.560036,0.476234,0.142522,0.341416,0.523766
split_1+7,Old,hybrid,0.610268,0.219478,0.528883,0.365021,0.156913,0.233696,0.634979
split_1+7,New,none,0.658138,0.261931,0.560636,0.386248,0.198153,0.186242,0.613752
split_1+7,New,undersampling,0.659735,0.256127,0.595159,0.491924,0.173136,0.279941,0.508076
split_1+7,New,oversampling,0.659321,0.260415,0.595748,0.483156,0.178243,0.265424,0.516844
split_1+7,New,hybrid,0.663411,0.263135,0.577205,0.424089,0.190743,0.214396,0.575911
split_1+7,Retrain,none,0.661321,0.254292,0.601272,0.522843,0.168001,0.308534,0.477157
split_1+7,Retrain,undersampling,0.659618,0.256009,0.598774,0.506230,0.171326,0.291763,0.493770
split_1+7,Retrain,oversampling,0.660198,0.260850,0.607899,0.528380,0.173170,0.300616,0.471620
split_1+7,Retrain,hybrid,0.660069,0.267320,0.585843,0.440701,0.191844,0.221214,0.559299
split_2+6,Old,none,0.619133,0.228818,0.581081,0.562067,0.143649,0.399263,0.437933
split_2+6,Old,undersampling,0.620451,0.231005,0.573220,0.486848,0.151428,0.325085,0.513152
split_2+6,Old,oversampling,0.618894,0.229748,0.578064,0.522843,0.147219,0.360882,0.477157
split_2+6,Old,hybrid,0.633035,0.239715,0.589112,0.528380,0.155023,0.343176,0.471620
split_2+6,New,none,0.659767,0.261110,0.580807,0.436548,0.186257,0.227263,0.563452
split_2+6,New,undersampling,0.658805,0.258153,0.577749,0.432856,0.183922,0.228857,0.567144
split_2+6,New,oversampling,0.661231,0.264453,0.572866,0.411629,0.194802,0.202738,0.588371
split_2+6,New,hybrid,0.661267,0.261124,0.593443,0.473927,0.180207,0.256901,0.526073
split_3+5,Old,none,0.630340,0.237075,0.567767,0.444393,0.161659,0.274607,0.555607
split_3+5,Old,undersampling,0.635439,0.240749,0.589083,0.522381,0.156418,0.335698,0.477619
split_3+5,Old,oversampling,0.636655,0.244437,0.581533,0.473927,0.164689,0.286429,0.526073
split_3+5,Old,hybrid,0.640259,0.240406,0.594073,0.557914,0.153213,0.367425,0.442086
split_3+5,New,none,0.657479,0.256312,0.576002,0.431011,0.182386,0.230232,0.568989
split_3+5,New,undersampling,0.658348,0.263397,0.555706,0.374250,0.203207,0.174860,0.625750
split_3+5,New,oversampling,0.663485,0.268068,0.561670,0.382557,0.206322,0.175355,0.617443
split_3+5,New,hybrid,0.662943,0.261559,0.597616,0.486848,0.178814,0.266414,0.513152
split_4+4,Old,none,0.637291,0.245966,0.596799,0.538071,0.159420,0.338062,0.461929
split_4+4,Old,undersampling,0.637798,0.244665,0.593004,0.523766,0.159612,0.328604,0.476234
split_4+4,Old,oversampling,0.642202,0.245287,0.589599,0.504384,0.162046,0.310789,0.495616
split_4+4,Old,hybrid,0.642111,0.243098,0.598991,0.574988,0.154132,0.376004,0.425012
split_4+4,New,none,0.655890,0.249398,0.602112,0.550069,0.161255,0.340922,0.449931
split_4+4,New,undersampling,0.655312,0.252448,0.589683,0.481772,0.171035,0.278236,0.518228
split_4+4,New,oversampling,0.656726,0.252709,0.521798,0.317490,0.209884,0.142417,0.682510
split_4+4,New,hybrid,0.656526,0.259733,0.586150,0.454084,0.181885,0.243374,0.545916
split_5+3,Old,none,0.649063,0.253968,0.592316,0.487310,0.171735,0.280051,0.512690
split_5+3,Old,undersampling,0.652447,0.250531,0.602158,0.544070,0.162733,0.333553,0.455930
