metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6357,0.6356,0.6271,0.6365
AUC,New,0.6463,0.6430,0.6475,0.6482
AUC,Retrain,0.6603,0.6616,0.6582,0.6624
F1,Old,0.2408,0.2417,0.2362,0.2417
F1,New,0.2499,0.2484,0.2520,0.2539
F1,Retrain,0.2651,0.2618,0.2536,0.2571
G_Mean,Old,0.5781,0.5817,0.5670,0.5769
G_Mean,New,0.5479,0.5680,0.5609,0.5678
G_Mean,Retrain,0.5775,0.5849,0.6029,0.6085
Recall,Old,0.4878,0.4908,0.4721,0.5300
Recall,New,0.3805,0.4355,0.4061,0.4190
Recall,Retrain,0.4222,0.4467,0.5335,0.5464
Precision,Old,0.1613,0.1610,0.1601,0.1603
Precision,New,0.1904,0.1774,0.1854,0.1837
Precision,Retrain,0.1932,0.1852,0.1663,0.1681
