split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+7,Old,none,0.599339,0.220772,0.564055,0.491924,0.142323,0.353239,0.508076,0.602809,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_1+7,Old,undersampling,0.611946,0.224536,0.572122,0.666820,0.134996,0.509128,0.333180,0.616871,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_1+7,Old,oversampling,0.608149,0.229385,0.551202,0.408860,0.159410,0.256901,0.591140,0.622367,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 1000, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+7,Old,hybrid,0.580136,0.211827,0.557899,0.549608,0.131196,0.433685,0.450392,0.600510,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+7,New,none,0.649396,0.256056,0.571539,0.419474,0.184269,0.221269,0.580526,0.667497,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+7,New,undersampling,0.626689,0.235060,0.577573,0.490078,0.154608,0.319312,0.509922,0.643204,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_1+7,New,oversampling,0.653748,0.252997,0.583006,0.457776,0.174802,0.257506,0.542224,0.673236,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_1+7,New,hybrid,0.659356,0.258810,0.574666,0.423627,0.186320,0.220444,0.576373,0.673593,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+7,Retrain,none,0.661642,0.261834,0.584882,0.446701,0.185192,0.234191,0.553299,0.671842,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_1+7,Retrain,undersampling,0.662357,0.257056,0.608515,0.546377,0.168062,0.322281,0.453623,0.672114,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 100, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_1+7,Retrain,oversampling,0.658178,0.253592,0.602909,0.533456,0.166331,0.318597,0.466544,0.668834,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_1+7,Retrain,hybrid,0.660336,0.265141,0.577538,0.422243,0.193242,0.210052,0.577757,0.668574,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_2+6,Old,none,0.632066,0.235947,0.573938,0.470697,0.157432,0.300176,0.529303,0.655783,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_2+6,Old,undersampling,0.604198,0.218816,0.557449,0.688509,0.130078,0.548664,0.311491,0.638361,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 15, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_2+6,Old,oversampling,0.594137,0.216739,0.546045,0.423627,0.145622,0.296162,0.576373,0.632234,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_2+6,Old,hybrid,0.629383,0.240410,0.581611,0.487310,0.159565,0.305840,0.512690,0.656546,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_2+6,New,none,0.644602,0.247123,0.591361,0.505307,0.163555,0.307929,0.494693,0.659711,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
