split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+15,Old,none,0.579671,0.057267,0.533860,0.414634,0.030757,0.312630,0.585366,0.569993,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_1+15,Old,undersampling,0.580360,0.057221,0.540241,0.435540,0.030622,0.329887,0.564460,0.592559,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 50, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+15,Old,oversampling,0.601432,0.065914,0.463702,0.254355,0.037863,0.154648,0.745645,0.560785,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+15,Old,hybrid,0.609290,0.065641,0.439625,0.222997,0.038485,0.133306,0.777003,0.582350,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_1+15,New,none,0.867775,0.260870,0.668090,0.470383,0.180481,0.051105,0.529617,0.862076,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+15,New,undersampling,0.859487,0.281588,0.627019,0.407666,0.215074,0.035598,0.592334,0.860320,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_1+15,New,oversampling,0.835546,0.196721,0.677150,0.501742,0.122345,0.086119,0.498258,0.828710,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+15,New,hybrid,0.850932,0.193036,0.704141,0.550523,0.117037,0.099375,0.449477,0.840235,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+15,Retrain,none,0.853815,0.239754,0.623077,0.407666,0.169811,0.047687,0.592334,0.849327,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+15,Retrain,undersampling,0.856252,0.250958,0.657742,0.456446,0.173052,0.052188,0.543554,0.847210,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
split_1+15,Retrain,oversampling,0.817940,0.203852,0.641728,0.442509,0.132430,0.069362,0.557491,0.806796,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+15,Retrain,hybrid,0.844523,0.188022,0.656216,0.470383,0.117493,0.084535,0.529617,0.819559,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
split_2+14,Old,none,0.630548,0.071105,0.545067,0.383275,0.039188,0.224844,0.616725,0.658831,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+14,Old,undersampling,0.620598,0.059501,0.318582,0.108014,0.041060,0.060358,0.891986,0.671034,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_2+14,Old,oversampling,0.617942,0.063408,0.510623,0.334495,0.035024,0.220509,0.665505,0.653608,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_2+14,Old,hybrid,0.661168,0.072674,0.570608,0.435540,0.039645,0.252439,0.564460,0.664707,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_2+14,New,none,0.867441,0.237344,0.682690,0.498258,0.155773,0.064610,0.501742,0.867799,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 15, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_2+14,New,undersampling,0.879043,0.265610,0.666342,0.466899,0.185596,0.049020,0.533101,0.869000,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 15, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_2+14,New,oversampling,0.840336,0.200949,0.641211,0.442509,0.129990,0.070863,0.557491,0.827629,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_2+14,New,hybrid,0.856128,0.196931,0.697387,0.536585,0.120595,0.093622,0.463415,0.842077,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_3+13,Old,none,0.659583,0.070513,0.414944,0.191638,0.043205,0.101542,0.808362,0.745186,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_3+13,Old,undersampling,0.665444,0.076482,0.568262,0.418118,0.042090,0.227678,0.581882,0.746778,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_3+13,Old,oversampling,0.621923,0.067054,0.403581,0.181185,0.041139,0.101042,0.818815,0.704896,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_3+13,Old,hybrid,0.656849,0.075455,0.499724,0.296167,0.043235,0.156815,0.703833,0.732338,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 800, ""num_leaves"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_3+13,New,none,0.868693,0.298947,0.687956,0.494774,0.214178,0.043435,0.505226,0.877067,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
