new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8678,0.8595,0.8355,0.8509,0.8534
14yr,0.8674,0.8790,0.8403,0.8561,0.8607
13yr,0.8687,0.8718,0.8374,0.8621,0.8600
12yr,0.8751,0.8790,0.8520,0.8667,0.8682
11yr,0.8882,0.8808,0.8590,0.8698,0.8745
10yr,0.8848,0.8877,0.8495,0.8728,0.8737
9yr,0.8912,0.8873,0.8556,0.8703,0.8761
8yr,0.8791,0.8787,0.8489,0.8743,0.8702
7yr,0.8846,0.8871,0.8511,0.8682,0.8728
6yr,0.8798,0.8794,0.8509,0.8692,0.8698
5yr,0.8777,0.8798,0.8590,0.8683,0.8712
4yr,0.8630,0.8774,0.8513,0.8617,0.8633
3yr,0.8717,0.8736,0.8540,0.8541,0.8633
2yr,0.8729,0.8578,0.8313,0.8518,0.8534
1yr,0.8418,0.8570,0.8189,0.8278,0.8364
avg,0.8743,0.8757,0.8463,0.8616,0.8645
