old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5797,0.5804,0.6014,0.6093,0.5927
2yr,0.6305,0.6206,0.6179,0.6612,0.6326
3yr,0.6596,0.6654,0.6219,0.6568,0.6509
4yr,0.6842,0.6712,0.6475,0.6549,0.6644
5yr,0.6946,0.6728,0.6598,0.6594,0.6717
6yr,0.6951,0.6625,0.6477,0.6884,0.6734
7yr,0.7105,0.7171,0.6640,0.7043,0.6990
8yr,0.7099,0.7481,0.6928,0.7250,0.7189
9yr,0.7515,0.7364,0.7040,0.7520,0.7360
10yr,0.7693,0.7908,0.7533,0.7817,0.7738
11yr,0.7878,0.7737,0.7468,0.7893,0.7744
12yr,0.7889,0.7910,0.7629,0.7988,0.7854
13yr,0.8152,0.8168,0.7666,0.8089,0.8019
14yr,0.8298,0.8204,0.7896,0.8191,0.8147
15yr,0.8336,0.8452,0.8056,0.8274,0.8279
avg,0.7293,0.7275,0.6988,0.7291,0.7212
