old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0573,0.0572,0.0659,0.0656,0.0615
2yr,0.0711,0.0595,0.0634,0.0727,0.0667
3yr,0.0705,0.0765,0.0671,0.0755,0.0724
4yr,0.0805,0.0791,0.0700,0.0761,0.0764
5yr,0.0908,0.0779,0.0742,0.0828,0.0814
6yr,0.0988,0.1137,0.0731,0.0806,0.0915
7yr,0.1067,0.1076,0.0869,0.0877,0.0972
8yr,0.1190,0.1220,0.0908,0.1023,0.1085
9yr,0.1309,0.1242,0.0971,0.1187,0.1177
10yr,0.1668,0.1718,0.1220,0.1382,0.1497
11yr,0.1659,0.1716,0.1216,0.1563,0.1538
12yr,0.2047,0.1914,0.1413,0.1491,0.1716
13yr,0.2086,0.1956,0.1436,0.1736,0.1804
14yr,0.1934,0.2208,0.1704,0.1593,0.1860
15yr,0.2283,0.2158,0.1698,0.1725,0.1966
avg,0.1329,0.1323,0.1038,0.1141,0.1208
