new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6681,0.6270,0.6772,0.7041,0.6691
14yr,0.6827,0.6663,0.6412,0.6974,0.6719
13yr,0.6880,0.7251,0.6840,0.7193,0.7041
12yr,0.7158,0.7114,0.6980,0.7360,0.7153
11yr,0.6953,0.7271,0.6557,0.7195,0.6994
10yr,0.6832,0.7152,0.7175,0.7156,0.7079
9yr,0.7110,0.7107,0.6033,0.7401,0.6913
8yr,0.7534,0.7075,0.6490,0.7070,0.7042
7yr,0.6547,0.6903,0.6174,0.7138,0.6691
6yr,0.7108,0.6593,0.6470,0.6585,0.6689
5yr,0.6620,0.7118,0.5865,0.6388,0.6498
4yr,0.6873,0.6722,0.5913,0.7174,0.6670
3yr,0.6726,0.6683,0.6733,0.6426,0.6642
2yr,0.6282,0.5346,0.5325,0.6471,0.5856
1yr,0.5310,0.5963,0.4337,0.6285,0.5474
avg,0.6763,0.6749,0.6272,0.6924,0.6677
