old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5339,0.5402,0.4637,0.4396,0.4944
2yr,0.5451,0.3186,0.5106,0.5706,0.4862
3yr,0.4149,0.5683,0.4036,0.4997,0.4716
4yr,0.4220,0.4901,0.4954,0.4955,0.4758
5yr,0.4570,0.3220,0.5099,0.4570,0.4365
6yr,0.4564,0.4567,0.5274,0.5280,0.4921
7yr,0.5024,0.4916,0.5020,0.4949,0.4977
8yr,0.4642,0.5039,0.4989,0.5292,0.4991
9yr,0.5144,0.5521,0.5170,0.5825,0.5415
10yr,0.5900,0.5734,0.6133,0.6010,0.5944
11yr,0.5922,0.5982,0.5537,0.6350,0.5948
12yr,0.5424,0.5817,0.6173,0.6682,0.6024
13yr,0.6118,0.6147,0.6050,0.6376,0.6173
14yr,0.6420,0.5827,0.6145,0.6946,0.6334
15yr,0.6314,0.6853,0.6301,0.6787,0.6564
avg,0.5280,0.5253,0.5375,0.5675,0.5396
