old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4146,0.4355,0.2544,0.2230,0.3319
2yr,0.3833,0.1080,0.3345,0.4355,0.3153
3yr,0.1916,0.4181,0.1812,0.2962,0.2718
4yr,0.1951,0.2787,0.2962,0.2892,0.2648
5yr,0.2300,0.1080,0.3136,0.2334,0.2213
6yr,0.2265,0.2230,0.3449,0.3345,0.2822
7yr,0.2787,0.2648,0.2892,0.2787,0.2779
8yr,0.2300,0.2753,0.2822,0.3171,0.2761
9yr,0.2857,0.3380,0.3031,0.3868,0.3284
10yr,0.3763,0.3519,0.4355,0.4042,0.3920
11yr,0.3798,0.3868,0.3415,0.4495,0.3894
12yr,0.3066,0.3589,0.4286,0.5122,0.4016
13yr,0.3972,0.4042,0.4077,0.4460,0.4138
14yr,0.4460,0.3554,0.4111,0.5540,0.4416
15yr,0.4216,0.5087,0.4355,0.5157,0.4704
avg,0.3175,0.3210,0.3373,0.3784,0.3386
