old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3126,0.3299,0.1546,0.1333,0.2326
2yr,0.2248,0.0604,0.2205,0.2524,0.1895
3yr,0.1015,0.2277,0.1010,0.1568,0.1468
4yr,0.0874,0.1381,0.1715,0.1509,0.1370
5yr,0.0917,0.0398,0.1707,0.1055,0.1019
6yr,0.0804,0.0646,0.1936,0.1667,0.1263
7yr,0.0945,0.0875,0.1285,0.1215,0.1080
8yr,0.0630,0.0774,0.1180,0.1168,0.0938
9yr,0.0737,0.0982,0.1182,0.1227,0.1032
10yr,0.0750,0.0657,0.1365,0.1064,0.0959
11yr,0.0765,0.0747,0.1023,0.1030,0.0891
12yr,0.0404,0.0572,0.1110,0.1282,0.0842
13yr,0.0577,0.0653,0.1021,0.0884,0.0784
14yr,0.0758,0.0446,0.0817,0.1292,0.0828
15yr,0.0544,0.0767,0.0884,0.1068,0.0816
avg,0.1006,0.1005,0.1332,0.1326,0.1167
