metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6428,0.6464,0.6412,0.6453
AUC,New,0.6551,0.6623,0.6499,0.6623
AUC,Retrain,0.6594,0.6633,0.6575,0.6636
F1,Old,0.2452,0.2486,0.2441,0.2468
F1,New,0.2569,0.2601,0.2540,0.2596
F1,Retrain,0.2661,0.2571,0.2613,0.2573
G_Mean,Old,0.5852,0.5882,0.5687,0.5902
G_Mean,New,0.5883,0.5649,0.5600,0.5771
G_Mean,Retrain,0.5653,0.6036,0.5957,0.5941
Recall,Old,0.5146,0.5103,0.4433,0.5205
Recall,New,0.4778,0.4098,0.4040,0.4460
Recall,Retrain,0.3922,0.5228,0.4808,0.4850
Precision,Old,0.1625,0.1663,0.1708,0.1631
Precision,New,0.1772,0.1956,0.1895,0.1897
Precision,Retrain,0.2013,0.1705,0.1794,0.1751
