split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+7,Old,none,0.614737,0.229944,0.582212,0.558837,0.144753,0.393435,0.441163,0.638780,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_1+7,Old,undersampling,0.613010,0.227956,0.581417,0.605445,0.140411,0.441658,0.394555,0.632046,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 0.7}"
split_1+7,Old,oversampling,0.608438,0.218475,0.484053,0.275035,0.181210,0.148081,0.724965,0.632476,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}"
split_1+7,Old,hybrid,0.614239,0.220834,0.565991,0.660821,0.132568,0.515231,0.339179,0.639471,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 0.85}"
split_1+7,New,none,0.663271,0.253165,0.596863,0.507614,0.168634,0.298196,0.492386,0.679815,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_1+7,New,undersampling,0.662065,0.262430,0.566191,0.398246,0.195692,0.195040,0.601754,0.679259,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 20, ""n_estimators"": 800, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_1+7,New,oversampling,0.657097,0.257112,0.595378,0.490078,0.174270,0.276696,0.509922,0.673496,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 800, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_1+7,New,hybrid,0.663044,0.263965,0.605243,0.508076,0.178300,0.279006,0.491924,0.674060,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_1+7,Retrain,none,0.663312,0.257149,0.603634,0.522843,0.170504,0.303090,0.477157,0.675824,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.01, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
split_1+7,Retrain,undersampling,0.663619,0.257314,0.594108,0.485002,0.175108,0.272242,0.514998,0.674627,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
