metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6663,0.6682,0.6598,0.6680
AUC,New,0.7203,0.7040,0.7044,0.7044
AUC,Retrain,0.7119,0.6948,0.6952,0.6951
AUC,Finetune,0.7193,0.7040,0.7040,0.7044
F1,Old,0.0677,0.0702,0.0688,0.0694
F1,New,0.1527,0.1430,0.1557,0.1444
F1,Retrain,0.1412,0.0824,0.0823,0.0786
F1,Finetune,0.1079,0.0874,0.0972,0.0900
G_Mean,Old,0.5793,0.5801,0.5714,0.5829
G_Mean,New,0.5996,0.5744,0.5677,0.5730
G_Mean,Retrain,0.5975,0.6072,0.6111,0.6173
G_Mean,Finetune,0.6387,0.6226,0.6178,0.6214
Recall,Old,0.6678,0.6272,0.6346,0.6030
Recall,New,0.3984,0.3721,0.3554,0.3675
Recall,Retrain,0.3972,0.4913,0.5017,0.5366
Recall,Finetune,0.5082,0.5175,0.4897,0.5115
Precision,Old,0.0360,0.0376,0.0368,0.0372
Precision,New,0.0954,0.0907,0.1021,0.0918
Precision,Retrain,0.0858,0.0450,0.0448,0.0424
Precision,Finetune,0.0607,0.0478,0.0546,0.0496
