old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6934,0.6939,0.6937,0.7131,0.6985
2+14,0.6965,0.6970,0.6943,0.7088,0.6992
3+13,0.7008,0.7013,0.6992,0.7242,0.7064
4+12,0.7047,0.7048,0.7043,0.7158,0.7074
5+11,0.7001,0.7000,0.6987,0.7129,0.7029
6+10,0.6984,0.6985,0.6981,0.7077,0.7007
7+9,0.6995,0.6995,0.6999,0.7144,0.7033
8+8,0.6960,0.6963,0.6956,0.7078,0.6989
9+7,0.6915,0.6917,0.6925,0.7043,0.6950
10+6,0.6908,0.6913,0.6876,0.7012,0.6927
11+5,0.6929,0.6930,0.6942,0.7153,0.6989
12+4,0.7179,0.7181,0.7186,0.7389,0.7234
13+3,0.7222,0.7227,0.7193,0.7406,0.7262
14+2,0.7212,0.7218,0.7244,0.7410,0.7271
15+1,0.7335,0.7353,0.7390,0.7441,0.7380
avg,0.7040,0.7044,0.7040,0.7193,0.7079
