new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6934,0.6939,0.6947,0.7099,0.6980
14yr,0.6967,0.6971,0.6989,0.7123,0.7013
13yr,0.7008,0.7016,0.7039,0.7279,0.7085
12yr,0.7047,0.7052,0.7049,0.7229,0.7094
11yr,0.7002,0.7005,0.7027,0.7174,0.7052
10yr,0.6984,0.6987,0.6962,0.7098,0.7008
9yr,0.6995,0.6997,0.6994,0.7174,0.7040
8yr,0.6961,0.6964,0.6946,0.7096,0.6992
7yr,0.6916,0.6917,0.6909,0.7033,0.6944
6yr,0.6908,0.6918,0.6924,0.7017,0.6942
5yr,0.6927,0.6930,0.6916,0.7122,0.6974
4yr,0.7180,0.7182,0.7160,0.7357,0.7220
3yr,0.7221,0.7228,0.7183,0.7386,0.7255
2yr,0.7211,0.7218,0.7229,0.7399,0.7264
avg,0.7019,0.7023,0.7020,0.7185,0.7062
