old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5977,0.5940,0.5393,0.5492,0.5700
2yr,0.6447,0.6445,0.6277,0.6452,0.6405
3yr,0.6335,0.6330,0.6319,0.6420,0.6351
4yr,0.6444,0.6441,0.6269,0.6376,0.6382
5yr,0.6572,0.6564,0.6441,0.6506,0.6521
6yr,0.6665,0.6665,0.6565,0.6625,0.6630
7yr,0.6692,0.6696,0.6610,0.6653,0.6663
8yr,0.6803,0.6805,0.6770,0.6712,0.6772
9yr,0.6878,0.6883,0.6858,0.6824,0.6861
10yr,0.6898,0.6902,0.6904,0.6949,0.6913
11yr,0.6905,0.6910,0.6906,0.6966,0.6922
12yr,0.6871,0.6875,0.6874,0.6939,0.6890
13yr,0.6890,0.6891,0.6905,0.6973,0.6915
14yr,0.6916,0.6918,0.6925,0.6992,0.6938
15yr,0.6931,0.6932,0.6955,0.7061,0.6970
avg,0.6682,0.6680,0.6598,0.6663,0.6656
