old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0819,0.0731,0.0602,0.0564,0.0679
2yr,0.0566,0.0564,0.0562,0.0570,0.0566
3yr,0.0549,0.0556,0.0562,0.0582,0.0562
4yr,0.0567,0.0568,0.0566,0.0576,0.0569
5yr,0.0556,0.0580,0.0587,0.0576,0.0575
6yr,0.0678,0.0671,0.0592,0.0593,0.0633
7yr,0.0678,0.0679,0.0591,0.0602,0.0638
8yr,0.0693,0.0685,0.0742,0.0596,0.0679
9yr,0.0714,0.0707,0.0759,0.0709,0.0722
10yr,0.0770,0.0765,0.0685,0.0763,0.0746
11yr,0.0788,0.0782,0.0696,0.0766,0.0758
12yr,0.0782,0.0779,0.0771,0.0816,0.0787
13yr,0.0789,0.0783,0.0831,0.0774,0.0794
14yr,0.0790,0.0782,0.0775,0.0830,0.0794
15yr,0.0784,0.0779,0.0992,0.0842,0.0849
avg,0.0702,0.0694,0.0688,0.0677,0.0690
