old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6108,0.6114,0.5756,0.6085,0.6016
2+14,0.6142,0.6149,0.6145,0.6343,0.6195
3+13,0.6172,0.6162,0.6136,0.6335,0.6201
4+12,0.6256,0.6191,0.5924,0.6462,0.6208
5+11,0.6165,0.6141,0.6166,0.6379,0.6213
6+10,0.6168,0.6175,0.6118,0.6236,0.6174
7+9,0.6184,0.6177,0.6194,0.6302,0.6214
8+8,0.6146,0.6202,0.6141,0.6285,0.6194
9+7,0.6151,0.6143,0.6140,0.6261,0.6174
10+6,0.6151,0.6138,0.6120,0.6204,0.6153
11+5,0.6120,0.6114,0.6159,0.6416,0.6202
12+4,0.6370,0.6364,0.6346,0.6543,0.6406
13+3,0.6396,0.6224,0.6389,0.6590,0.6400
14+2,0.6386,0.6444,0.6399,0.6603,0.6458
avg,0.6208,0.6196,0.6152,0.6360,0.6229
