old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0453,0.0450,0.0850,0.0848,0.0650
2+14,0.0422,0.0420,0.0451,0.0508,0.0450
3+13,0.0428,0.0425,0.0534,0.0794,0.0545
4+12,0.0494,0.0430,0.0848,0.0547,0.0580
5+11,0.0430,0.0468,0.0521,0.0526,0.0486
6+10,0.0495,0.0491,0.0446,0.0524,0.0489
7+9,0.0513,0.0443,0.0460,0.0555,0.0493
8+8,0.0416,0.0452,0.0455,0.0516,0.0460
9+7,0.0421,0.0418,0.0455,0.0529,0.0456
10+6,0.0448,0.0443,0.0446,0.0498,0.0459
11+5,0.0487,0.0483,0.0441,0.0523,0.0483
12+4,0.0530,0.0527,0.0573,0.0677,0.0577
13+3,0.0513,0.0783,0.0540,0.0706,0.0635
14+2,0.0590,0.0554,0.0546,0.0720,0.0602
15+1,0.0526,0.0655,0.0627,0.0637,0.0611
avg,0.0478,0.0496,0.0546,0.0607,0.0532
