new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0453,0.0450,0.0448,0.0839,0.0547
14yr,0.0462,0.0547,0.0845,0.0789,0.0661
13yr,0.0823,0.0817,0.0853,0.0735,0.0807
12yr,0.0845,0.0952,0.0857,0.0740,0.0848
11yr,0.0907,0.0895,0.0876,0.0911,0.0897
10yr,0.0885,0.0970,0.1058,0.0993,0.0977
9yr,0.0999,0.0979,0.0987,0.0962,0.0982
8yr,0.1063,0.1038,0.1073,0.0928,0.1025
7yr,0.0941,0.0917,0.1020,0.1064,0.0986
6yr,0.1006,0.0981,0.1239,0.0928,0.1038
5yr,0.1005,0.1010,0.1170,0.0972,0.1039
4yr,0.1179,0.1164,0.1233,0.1238,0.1204
3yr,0.1091,0.1059,0.1139,0.1161,0.1112
2yr,0.1084,0.1074,0.1372,0.1122,0.1163
avg,0.0910,0.0918,0.1012,0.0956,0.0949
