old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2822,0.2195,0.2056,0.2822,0.2474
2yr,0.8397,0.8362,0.7979,0.7909,0.8162
3yr,0.8537,0.6202,0.8084,0.8432,0.7814
4yr,0.8537,0.8293,0.8188,0.8258,0.8319
5yr,0.8955,0.8467,0.8467,0.8258,0.8537
6yr,0.6132,0.6132,0.8606,0.8362,0.7308
7yr,0.6237,0.6307,0.8606,0.8502,0.7413
8yr,0.6307,0.6307,0.5331,0.8362,0.6577
9yr,0.6411,0.6411,0.5401,0.5854,0.6019
10yr,0.5331,0.5331,0.6167,0.5714,0.5636
11yr,0.5296,0.5296,0.6098,0.5749,0.5610
12yr,0.5226,0.5261,0.5261,0.5261,0.5253
13yr,0.5296,0.5296,0.5017,0.5714,0.5331
14yr,0.5296,0.5296,0.5331,0.5470,0.5348
15yr,0.5296,0.5296,0.4599,0.5505,0.5174
avg,0.6272,0.6030,0.6346,0.6678,0.6332
