old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.1342,0.1145,0.1346,0.2088,0.1480
2yr,0.6656,0.6651,0.6360,0.6217,0.6471
3yr,0.6998,0.4952,0.6454,0.6489,0.6223
4yr,0.6765,0.6546,0.6484,0.6428,0.6556
5yr,0.7253,0.6548,0.6466,0.6419,0.6672
6yr,0.3945,0.3989,0.6512,0.6308,0.5189
7yr,0.4016,0.4054,0.6520,0.6313,0.5226
8yr,0.3964,0.4014,0.3072,0.6273,0.4331
9yr,0.3903,0.3949,0.3036,0.3573,0.3615
10yr,0.2945,0.2969,0.3920,0.3209,0.3261
11yr,0.2849,0.2874,0.3809,0.3215,0.3187
12yr,0.2832,0.2865,0.2900,0.2722,0.2830
13yr,0.2846,0.2870,0.2530,0.3155,0.2850
14yr,0.2842,0.2873,0.2926,0.2784,0.2856
15yr,0.2865,0.2886,0.1869,0.2758,0.2595
avg,0.4135,0.3946,0.4280,0.4530,0.4223
