old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5017,0.4983,0.6341,0.5854,0.5549
2+14,0.4704,0.4669,0.4913,0.4739,0.4756
3+13,0.4669,0.4669,0.5296,0.5401,0.5009
4+12,0.4878,0.4634,0.6098,0.4634,0.5061
5+11,0.4704,0.5017,0.5192,0.4739,0.4913
6+10,0.5087,0.5052,0.4948,0.5052,0.5035
7+9,0.5122,0.4774,0.4843,0.5017,0.4939
8+8,0.4634,0.4774,0.4948,0.4913,0.4817
9+7,0.4669,0.4669,0.4948,0.5017,0.4826
10+6,0.4878,0.4878,0.4948,0.5017,0.4930
11+5,0.5157,0.5157,0.4808,0.4634,0.4939
12+4,0.4774,0.4774,0.4983,0.4843,0.4843
13+3,0.4634,0.5575,0.4774,0.4808,0.4948
14+2,0.4948,0.4704,0.4774,0.4808,0.4808
avg,0.4848,0.4881,0.5129,0.4963,0.4955
