split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+15,Old,none,0.597789,0.082206,0.496975,0.285714,0.048009,0.135556,0.714286,0.574757,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+15,Old,undersampling,0.594331,0.073086,0.440871,0.219512,0.043841,0.114548,0.780488,0.576185,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Old,oversampling,0.539611,0.060667,0.425009,0.209059,0.035482,0.135973,0.790941,0.571234,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Old,hybrid,0.548782,0.056230,0.472336,0.282230,0.031226,0.209504,0.717770,0.590437,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+15,New,none,0.693439,0.082995,0.610718,0.498258,0.045267,0.251438,0.501742,0.613897,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_1+15,New,undersampling,0.693913,0.082664,0.611586,0.501742,0.045042,0.254523,0.498258,0.614011,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_1+15,New,oversampling,0.694739,0.082192,0.610902,0.501742,0.044762,0.256190,0.498258,0.613350,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+15,New,hybrid,0.709824,0.139256,0.601351,0.404181,0.084119,0.105294,0.595819,0.617070,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Retrain,none,0.694847,0.082408,0.607175,0.491289,0.044976,0.249604,0.508711,0.610175,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_1+15,Retrain,undersampling,0.695106,0.078632,0.617325,0.536585,0.042424,0.289787,0.463415,0.610216,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_1+15,Retrain,oversampling,0.695197,0.082356,0.611141,0.501742,0.044860,0.255607,0.498258,0.609189,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
