new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6934,0.6939,0.6947,0.7098,0.6980
14yr,0.6967,0.6970,0.6989,0.7123,0.7012
13yr,0.7008,0.7016,0.7039,0.7279,0.7085
12yr,0.7047,0.7051,0.7050,0.7229,0.7094
11yr,0.7002,0.7004,0.7027,0.7173,0.7051
10yr,0.6984,0.6973,0.6962,0.7097,0.7004
9yr,0.6974,0.6996,0.6991,0.7174,0.7034
8yr,0.6934,0.6935,0.6946,0.7096,0.6978
7yr,0.6893,0.6893,0.6905,0.7030,0.6930
6yr,0.6875,0.6917,0.6925,0.7004,0.6930
5yr,0.6923,0.6886,0.6916,0.7121,0.6961
4yr,0.7118,0.7118,0.7144,0.7268,0.7162
3yr,0.7214,0.7229,0.7185,0.7387,0.7254
2yr,0.7213,0.7219,0.7229,0.7398,0.7265
1yr,0.7317,0.7322,0.7373,0.7451,0.7366
avg,0.7027,0.7031,0.7042,0.7195,0.7074
