old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5978,0.5943,0.5396,0.5488,0.5701
2yr,0.6447,0.6486,0.6283,0.6453,0.6417
3yr,0.6336,0.6336,0.6322,0.6420,0.6353
4yr,0.6444,0.6441,0.6269,0.6377,0.6383
5yr,0.6572,0.6564,0.6442,0.6506,0.6521
6yr,0.6665,0.6665,0.6566,0.6625,0.6630
7yr,0.6692,0.6696,0.6610,0.6654,0.6663
8yr,0.6803,0.6803,0.6770,0.6722,0.6775
9yr,0.6878,0.6882,0.6858,0.6823,0.6860
10yr,0.6899,0.6903,0.6904,0.6949,0.6914
11yr,0.6905,0.6910,0.6906,0.6966,0.6922
12yr,0.6871,0.6875,0.6875,0.6938,0.6890
13yr,0.6890,0.6891,0.6905,0.6973,0.6915
14yr,0.6917,0.6918,0.6926,0.6992,0.6938
15yr,0.6931,0.6932,0.6955,0.7061,0.6970
avg,0.6682,0.6683,0.6599,0.6663,0.6657
