new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0830,0.0827,0.0822,0.1393,0.0968
14yr,0.0847,0.1291,0.1373,0.1329,0.1210
13yr,0.1352,0.1299,0.1395,0.1277,0.1331
12yr,0.1391,0.1508,0.1410,0.1277,0.1396
11yr,0.1449,0.1439,0.1416,0.1485,0.1447
10yr,0.1418,0.1528,0.1572,0.1557,0.1519
9yr,0.1567,0.1524,0.1534,0.1553,0.1544
8yr,0.1509,0.1583,0.1605,0.1496,0.1548
7yr,0.1523,0.1506,0.1604,0.1499,0.1533
6yr,0.1564,0.1494,0.1726,0.1537,0.1580
5yr,0.1522,0.1515,0.1681,0.1540,0.1564
4yr,0.1680,0.1674,0.1793,0.1792,0.1735
3yr,0.1685,0.1650,0.1750,0.1778,0.1716
2yr,0.1649,0.1641,0.1944,0.1752,0.1746
1yr,0.1517,0.1491,0.1702,0.1546,0.1564
avg,0.1433,0.1465,0.1555,0.1521,0.1493
