new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6107,0.6116,0.6109,0.6014,0.6086
14yr,0.6144,0.6020,0.5755,0.6099,0.6004
13yr,0.5842,0.6065,0.5879,0.6431,0.6054
12yr,0.5946,0.5791,0.5974,0.6337,0.6012
11yr,0.5727,0.5773,0.5791,0.6043,0.5833
10yr,0.5695,0.5464,0.5307,0.5802,0.5567
9yr,0.5498,0.5568,0.5596,0.6039,0.5675
8yr,0.5406,0.5365,0.5451,0.5931,0.5538
7yr,0.5381,0.5406,0.5340,0.5764,0.5473
6yr,0.5277,0.5349,0.5214,0.5597,0.5359
5yr,0.5326,0.5353,0.5324,0.5847,0.5462
4yr,0.5571,0.5596,0.5695,0.5694,0.5639
3yr,0.5854,0.5896,0.5714,0.5946,0.5852
2yr,0.5722,0.5745,0.5663,0.6085,0.5804
1yr,0.6207,0.6199,0.6235,0.6323,0.6241
avg,0.5714,0.5714,0.5670,0.5997,0.5773
