old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4970,0.4409,0.4250,0.4723,0.4588
2yr,0.5299,0.5214,0.5387,0.5468,0.5342
3yr,0.5062,0.4869,0.5355,0.5442,0.5182
4yr,0.5255,0.5353,0.5366,0.5432,0.5351
5yr,0.4960,0.5408,0.5468,0.5530,0.5342
6yr,0.6094,0.6070,0.5588,0.5556,0.5827
7yr,0.6109,0.6124,0.5472,0.5597,0.5825
8yr,0.6170,0.6145,0.6077,0.6112,0.6126
9yr,0.6251,0.6125,0.6133,0.6138,0.6162
10yr,0.6134,0.6143,0.6123,0.6215,0.6154
11yr,0.6153,0.6143,0.6144,0.6246,0.6172
12yr,0.6120,0.6127,0.6112,0.6187,0.6137
13yr,0.6156,0.6145,0.6122,0.6254,0.6169
14yr,0.6159,0.6143,0.6085,0.6265,0.6163
15yr,0.6147,0.6138,0.6121,0.6314,0.6180
avg,0.5802,0.5770,0.5720,0.5832,0.5781
