new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0453,0.0450,0.0448,0.0841,0.0548
14yr,0.0462,0.0766,0.0845,0.0789,0.0715
13yr,0.0823,0.0769,0.0853,0.0735,0.0795
12yr,0.0845,0.0949,0.0857,0.0740,0.0848
11yr,0.0907,0.0896,0.0876,0.0910,0.0897
10yr,0.0885,0.1003,0.1066,0.0989,0.0986
9yr,0.1033,0.0987,0.0992,0.0963,0.0994
8yr,0.0993,0.1067,0.1074,0.0927,0.1015
7yr,0.1009,0.0991,0.1090,0.0945,0.1009
6yr,0.1062,0.0988,0.1237,0.0995,0.1070
5yr,0.1016,0.1006,0.1168,0.0970,0.1040
4yr,0.1126,0.1116,0.1212,0.1210,0.1166
3yr,0.1092,0.1057,0.1168,0.1161,0.1119
2yr,0.1077,0.1067,0.1364,0.1121,0.1157
1yr,0.0921,0.0902,0.1064,0.0935,0.0956
avg,0.0914,0.0934,0.1021,0.0949,0.0954
