new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.4983,0.5017,0.5017,0.4042,0.4765
14yr,0.5017,0.4111,0.3659,0.4216,0.4251
13yr,0.3798,0.4181,0.3833,0.4843,0.4164
12yr,0.3937,0.3659,0.3972,0.4669,0.4059
11yr,0.3589,0.3659,0.3693,0.4042,0.3746
10yr,0.3554,0.3206,0.2997,0.3659,0.3354
9yr,0.3240,0.3345,0.3380,0.4007,0.3493
8yr,0.3136,0.3066,0.3171,0.3868,0.3310
7yr,0.3101,0.3136,0.3031,0.3624,0.3223
6yr,0.2962,0.3066,0.2857,0.3380,0.3066
5yr,0.3031,0.3066,0.2997,0.3728,0.3206
4yr,0.3310,0.3345,0.3449,0.3449,0.3389
3yr,0.3693,0.3763,0.3484,0.3798,0.3685
2yr,0.3519,0.3554,0.3380,0.4007,0.3615
1yr,0.4286,0.4286,0.4251,0.4460,0.4321
avg,0.3677,0.3631,0.3545,0.3986,0.3710
