old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2857,0.2195,0.2091,0.2822,0.2491
2yr,0.8397,0.8502,0.8014,0.7909,0.8206
3yr,0.8537,0.8641,0.8084,0.8432,0.8423
4yr,0.8537,0.8293,0.8188,0.8258,0.8319
5yr,0.8955,0.8467,0.8467,0.8118,0.8502
6yr,0.6132,0.6132,0.8223,0.8362,0.7213
7yr,0.6237,0.6307,0.8606,0.8502,0.7413
8yr,0.6307,0.6307,0.5331,0.5645,0.5897
9yr,0.6411,0.5366,0.5401,0.5854,0.5758
10yr,0.5331,0.5366,0.6167,0.5679,0.5636
11yr,0.5296,0.5296,0.6098,0.5749,0.5610
12yr,0.5226,0.5261,0.5261,0.5261,0.5253
13yr,0.5296,0.5296,0.5017,0.5714,0.5331
14yr,0.5296,0.5296,0.4948,0.5436,0.5244
15yr,0.5296,0.5296,0.5017,0.5505,0.5279
avg,0.6274,0.6135,0.6328,0.6483,0.6305
