old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.1356,0.1145,0.1360,0.2095,0.1489
2yr,0.6656,0.6803,0.6379,0.6219,0.6514
3yr,0.6998,0.7256,0.6453,0.6488,0.6799
4yr,0.6765,0.6545,0.6484,0.6427,0.6555
5yr,0.7253,0.6545,0.6469,0.6233,0.6625
6yr,0.3945,0.3992,0.6203,0.6308,0.5112
7yr,0.4017,0.4054,0.6520,0.6315,0.5227
8yr,0.3964,0.4013,0.3073,0.3382,0.3608
9yr,0.3906,0.3010,0.3035,0.3565,0.3379
10yr,0.2942,0.2968,0.3921,0.3198,0.3257
11yr,0.2851,0.2874,0.3810,0.3215,0.3187
12yr,0.2835,0.2865,0.2899,0.2724,0.2831
13yr,0.2845,0.2870,0.2531,0.3155,0.2850
14yr,0.2839,0.2874,0.2516,0.2779,0.2752
15yr,0.2865,0.2886,0.2534,0.2758,0.2761
avg,0.4136,0.4047,0.4279,0.4324,0.4196
