split,method,sampling,tune_val_auc,tune_best_params
split_1+15,Old,none,0.574757,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+15,Old,undersampling,0.576185,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Old,oversampling,0.571234,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Old,hybrid,0.590437,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+15,New,none,0.613897,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_1+15,New,undersampling,0.614011,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_1+15,New,oversampling,0.613350,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+15,New,hybrid,0.617070,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_1+15,Retrain,none,0.610175,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_1+15,Retrain,undersampling,0.610216,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_1+15,Retrain,oversampling,0.609189,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+15,Retrain,hybrid,0.610842,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_2+14,Old,none,0.532265,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_2+14,Old,undersampling,0.535368,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_2+14,Old,oversampling,0.534366,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+14,Old,hybrid,0.532301,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+14,New,none,0.622453,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_2+14,New,undersampling,0.622534,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_2+14,New,oversampling,0.622332,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_2+14,New,hybrid,0.624691,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_3+13,Old,none,0.565757,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_3+13,Old,undersampling,0.566040,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_3+13,Old,oversampling,0.564717,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_3+13,Old,hybrid,0.569602,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_3+13,New,none,0.623774,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_3+13,New,undersampling,0.623934,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_3+13,New,oversampling,0.623562,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_3+13,New,hybrid,0.630052,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_4+12,Old,none,0.558051,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_4+12,Old,undersampling,0.558318,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_4+12,Old,oversampling,0.556572,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_4+12,Old,hybrid,0.558946,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_4+12,New,none,0.633166,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_4+12,New,undersampling,0.633235,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_4+12,New,oversampling,0.632259,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_4+12,New,hybrid,0.639127,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_5+11,Old,none,0.571459,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_5+11,Old,undersampling,0.571231,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_5+11,Old,oversampling,0.571972,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_5+11,Old,hybrid,0.577249,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_5+11,New,none,0.635491,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_5+11,New,undersampling,0.635574,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_5+11,New,oversampling,0.635239,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_5+11,New,hybrid,0.641023,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_6+10,Old,none,0.587971,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_6+10,Old,undersampling,0.588281,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_6+10,Old,oversampling,0.587793,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_6+10,Old,hybrid,0.590090,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_6+10,New,none,0.634720,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_6+10,New,undersampling,0.634860,"{""C"": 0.01, ""max_iter"": 2000, ""solver"": ""saga""}"
split_6+10,New,oversampling,0.634040,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_6+10,New,hybrid,0.638292,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,Old,none,0.586427,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_7+9,Old,undersampling,0.586659,"{""C"": 1.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_7+9,Old,oversampling,0.585503,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_7+9,Old,hybrid,0.586561,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_7+9,New,none,0.644292,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,New,undersampling,0.643688,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_7+9,New,oversampling,0.642628,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_7+9,New,hybrid,0.650645,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_8+8,Old,none,0.590899,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_8+8,Old,undersampling,0.591411,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_8+8,Old,oversampling,0.592574,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_8+8,Old,hybrid,0.592399,"{""C"": 0.01, ""max_iter"": 2000, ""solver"": ""saga""}"
split_8+8,New,none,0.644446,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_8+8,New,undersampling,0.644645,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_8+8,New,oversampling,0.644275,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_8+8,New,hybrid,0.646661,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""saga""}"
split_9+7,Old,none,0.592193,"{""C"": 100.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_9+7,Old,undersampling,0.592359,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_9+7,Old,oversampling,0.592585,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,Old,hybrid,0.592974,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_9+7,New,none,0.654874,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_9+7,New,undersampling,0.654988,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,New,oversampling,0.654507,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_9+7,New,hybrid,0.656595,"{""C"": 0.1, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,Old,none,0.594542,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,Old,undersampling,0.594603,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,Old,oversampling,0.595576,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,Old,hybrid,0.596154,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""saga""}"
split_10+6,New,none,0.666555,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_10+6,New,undersampling,0.663729,"{""C"": 10.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_10+6,New,oversampling,0.664943,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_10+6,New,hybrid,0.665910,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,Old,none,0.598189,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,Old,undersampling,0.598364,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_11+5,Old,oversampling,0.598432,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_11+5,Old,hybrid,0.600162,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_11+5,New,none,0.663850,"{""C"": 0.1, ""max_iter"": 500, ""solver"": ""saga""}"
split_11+5,New,undersampling,0.666399,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
split_11+5,New,oversampling,0.662279,"{""C"": 10.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_11+5,New,hybrid,0.669450,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_12+4,Old,none,0.602473,"{""C"": 1.0, ""max_iter"": 2000, ""solver"": ""saga""}"
split_12+4,Old,undersampling,0.602554,"{""C"": 100.0, ""max_iter"": 2000, ""solver"": ""lbfgs""}"
split_12+4,Old,oversampling,0.602527,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_12+4,Old,hybrid,0.604750,"{""C"": 0.1, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,none,0.659135,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,undersampling,0.659265,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,oversampling,0.656895,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
split_12+4,New,hybrid,0.661439,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
