metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6366,0.6374,0.6322,0.6377
AUC,New,0.6431,0.6443,0.6385,0.6443
AUC,Retrain,0.6423,0.6434,0.6377,0.6435
F1,Old,0.2359,0.2388,0.2316,0.2399
F1,New,0.2401,0.2471,0.2436,0.2495
F1,Retrain,0.2475,0.2467,0.2443,0.2474
G_Mean,Old,0.5787,0.5838,0.5743,0.5853
G_Mean,New,0.5650,0.5652,0.5841,0.5887
G_Mean,Retrain,0.5816,0.5864,0.5805,0.5969
Recall,Old,0.6370,0.5834,0.6524,0.5777
Recall,New,0.4743,0.4377,0.5008,0.4886
Recall,Retrain,0.4656,0.4859,0.4702,0.5311
Precision,Old,0.1464,0.1517,0.1422,0.1527
Precision,New,0.1756,0.1805,0.1625,0.1678
Precision,Retrain,0.1686,0.1653,0.1650,0.1613
