split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_1+7,Old,none,0.623422,0.217697,0.528819,0.779419,0.126517,0.641208,0.220581,0.624231,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+7,Old,undersampling,0.624124,0.217898,0.529051,0.780341,0.126629,0.641317,0.219659,0.624385,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,Old,oversampling,0.621046,0.228442,0.581682,0.628980,0.139566,0.462059,0.371020,0.614684,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+7,Old,hybrid,0.623199,0.219831,0.540287,0.763729,0.128394,0.617783,0.236271,0.614773,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,New,none,0.644023,0.251109,0.577303,0.443932,0.175068,0.249258,0.556068,0.643565,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+7,New,undersampling,0.644050,0.247801,0.593757,0.513613,0.163292,0.313593,0.486387,0.643722,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,New,oversampling,0.639118,0.241956,0.583763,0.491001,0.160531,0.305950,0.508999,0.636835,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+7,New,hybrid,0.643459,0.243582,0.600296,0.582372,0.153996,0.381227,0.417628,0.642989,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,Retrain,none,0.643400,0.246662,0.586370,0.485925,0.165280,0.292423,0.514075,0.638645,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_1+7,Retrain,undersampling,0.643455,0.247447,0.596949,0.531149,0.161295,0.329099,0.468851,0.638944,"{""C"": 1.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,Retrain,oversampling,0.637685,0.244335,0.580468,0.470235,0.165047,0.283460,0.529765,0.632278,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_1+7,Retrain,hybrid,0.642315,0.247547,0.581566,0.465621,0.168588,0.273617,0.534379,0.637976,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_2+6,Old,none,0.633991,0.236589,0.589613,0.555607,0.150293,0.374299,0.444393,0.640913,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+6,Old,undersampling,0.634409,0.239191,0.594847,0.578219,0.150782,0.388046,0.421781,0.641254,"{""C"": 100.0, ""max_iter"": 500, ""solver"": ""saga""}"
split_2+6,Old,oversampling,0.628903,0.225086,0.556583,0.753576,0.132302,0.588915,0.246424,0.628586,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
split_2+6,Old,hybrid,0.633297,0.235647,0.591019,0.670512,0.142941,0.479050,0.329488,0.637707,"{""C"": 10.0, ""max_iter"": 500, ""solver"": ""lbfgs""}"
