sampling,fold,model,n_train,n_train_sampled,n_val_tune,n_test,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
none,0,lr,6400,6400,960,1600,0.5,0.6427456912467095,0.24764468371467024,0.5887595120096523,0.519774011299435,0.1625441696113074,0.33309908643710473,0.480225988700565,0.6174605629446336,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
none,0,rf,6400,6400,960,1600,0.5,0.6526753774749773,0.03333333333333333,0.13018891098082386,0.01694915254237288,1.0,0.0,0.9830508474576272,0.6098935089037161,"{""max_depth"": 32, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 200}"
none,0,xgb,6400,6400,960,1600,0.5,0.6264675171020087,0.24862888482632542,0.5501336109777183,0.384180790960452,0.1837837837837838,0.2122276879831342,0.615819209039548,0.5885069152931819,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5, ""n_estimators"": 1000, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5, ""subsample"": 0.85}"
none,0,lgbm,6400,6400,960,1600,0.5,0.6103680058442615,0.24849699398797595,0.5350527726144345,0.3502824858757062,0.19254658385093168,0.18271257905832747,0.6497175141242938,0.5857894039149838,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 150, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
none,1,lr,6400,6400,960,1600,0.5,0.6536322164917756,0.2613981762917933,0.5924568153007237,0.4858757062146893,0.1787941787941788,0.27758257203092057,0.5141242937853108,0.6467456144226945,"{""C"": 0.01, ""max_iter"": 500, ""solver"": ""lbfgs""}"
none,1,rf,6400,6400,960,1600,0.5,0.6493800397822694,0.2096317280453258,0.43430446139424,0.20903954802259886,0.21022727272727273,0.09768095572733661,0.7909604519774012,0.6768702222614996,"{""max_depth"": 32, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 2, ""n_estimators"": 200}"
none,1,xgb,6400,6400,960,1600,0.5,0.6455407728559461,0.2679245283018868,0.5671303815415015,0.4011299435028249,0.20113314447592068,0.19817287420941673,0.5988700564971752,0.6712915911802395,"{""colsample_bytree"": 0.7, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 20, ""n_estimators"": 800, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
none,1,lgbm,6400,6400,960,1600,0.5,0.6197378816934066,0.21652421652421652,0.44064818794776217,0.21468926553672316,0.21839080459770116,0.09557273366127898,0.7853107344632768,0.6521143564137688,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.2, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.7}"
none,2,lr,6400,6400,960,1600,0.5,0.6405937960305076,0.2492836676217765,0.5844786999671135,0.4915254237288136,0.16698656429942418,0.3049894588896697,0.5084745762711864,0.71657240068932,"{""C"": 0.01, ""max_iter"": 1000, ""solver"": ""saga""}"
none,2,rf,6400,6400,960,1600,0.5,0.6497850089926986,0.25061425061425063,0.5018872870345793,0.288135593220339,0.2217391304347826,0.1257905832747716,0.711864406779661,0.7118222791745836,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 16, ""min_samples_split"": 16, ""n_estimators"": 400}"
