fold,model,n_train,n_val,n_test,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
0,lr,81412,0,20354,0.5,0.6349670894796942,0.2535119948130538,0.5919662913871566,0.5162852112676056,0.1680034374104841,0.3212587103196549,0.4837147887323944
0,rf,81412,0,20354,0.5,0.6602558853563812,0.007860262008733625,0.06292293662727805,0.003961267605633803,0.5,0.0004977325517088818,0.9960387323943662
0,xgb,81412,0,20354,0.5,0.6705356033585654,0.27889508117276474,0.6093047907325579,0.5066021126760564,0.19241056502841858,0.2671717730339564,0.4933978873239437
0,lgbm,81412,0,20354,0.5,0.6722296782575777,0.27959264647533394,0.5969459147057221,0.4652288732394366,0.19984874267347325,0.2340449065368875,0.5347711267605634
1,lr,81413,0,20353,0.5,0.6506454207265876,0.2585371108477863,0.5987990529840298,0.5284015852047557,0.17113519680547631,0.3214246211702245,0.4715984147952444
1,rf,81413,0,20353,0.5,0.6714011530524066,0.007874015748031496,0.06294201200858622,0.003963011889035667,0.6,0.0003318217011392545,0.9960369881109643
1,xgb,81413,0,20353,0.5,0.6739896959450491,0.27782387104421,0.6111793179030973,0.5160722148833113,0.190074602659747,0.27618626258157286,0.48392778511668866
1,lgbm,81413,0,20353,0.5,0.6746891978131231,0.27884615384615385,0.5989675990864459,0.472479084103919,0.19778801843317972,0.2406813405596726,0.527520915896081
2,lr,81413,0,20353,0.5,0.6439398267426082,0.2583199571963617,0.5991955386564577,0.5314839277851167,0.17062482329657902,0.3244663200973344,0.46851607221488334
2,rf,81413,0,20353,0.5,0.6537553177069809,0.007874015748031496,0.06294201200858622,0.003963011889035667,0.6,0.0003318217011392545,0.9960369881109643
2,xgb,81413,0,20353,0.5,0.6723240976049663,0.281734496124031,0.6128156106559693,0.5121092029942756,0.19431913116123642,0.2666740404822475,0.48789079700572435
2,lgbm,81413,0,20353,0.5,0.6741098613776246,0.28242456326098464,0.6001981949750586,0.4698370761778952,0.20189214758751184,0.2332706559008959,0.5301629238221048
3,lr,81413,0,20353,0.5,0.6452298548356766,0.2595721338453099,0.5981895937112787,0.5209158960810216,0.1728521332554062,0.31307377502488665,0.47908410391897843
3,rf,81413,0,20353,0.5,0.6590618227224663,0.007011393514460999,0.059347222212350254,0.0035226772346983706,0.7272727272727273,0.00016591085056962725,0.9964773227653017
3,xgb,81413,0,20353,0.5,0.6703701217083815,0.2766863905325444,0.6100233734513458,0.5147512109202994,0.1891891891891892,0.2770711204512775,0.4852487890797006
3,lgbm,81413,0,20353,0.5,0.6729429574971614,0.28447710274242227,0.6039124790460036,0.47732276530162926,0.20261682242990653,0.23592522951000997,0.5226772346983708
4,lr,81413,0,20353,0.5,0.6361311743866217,0.25061477600769805,0.5892904338052002,0.5158450704225352,0.16551334557265923,0.32680714562247665,0.4841549295774648
4,rf,81413,0,20353,0.5,0.6499387220535758,0.006129597197898424,0.0554989542248453,0.0030809859154929575,0.5833333333333334,0.00027653337757867376,0.996919014084507
4,xgb,81413,0,20353,0.5,0.6647593288145442,0.2762827412988877,0.6079795015319981,0.508362676056338,0.18968631959270815,0.27288313699463523,0.491637323943662
4,lgbm,81413,0,20353,0.5,0.6637381149070185,0.2713422642500657,0.5884821322782317,0.4546654929577465,0.19337326843878697,0.23831646479730104,0.5453345070422535
