fold,model,n_train,n_val,n_test,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
0,lr,5333,0,2667,0.5,0.6231557435618944,0.2372322899505766,0.5732781030725218,0.488135593220339,0.15669205658324264,0.32672849915682967,0.511864406779661
0,rf,5333,0,2667,0.5,0.6261554291594023,0.006756756756756757,0.058222250973958195,0.003389830508474576,1.0,0.0,0.9966101694915255
0,xgb,5333,0,2667,0.5,0.5955926486980878,0.1890909090909091,0.40147924381793804,0.17627118644067796,0.20392156862745098,0.08558178752107926,0.823728813559322
0,lgbm,5333,0,2667,0.5,0.5980950067167805,0.1431980906921241,0.312513754806329,0.1016949152542373,0.24193548387096775,0.03962900505902192,0.8983050847457628
1,lr,5333,0,2667,0.5,0.6607825763855145,0.2578456318914334,0.5968639760298696,0.5152542372881356,0.17194570135746606,0.3086003372681282,0.4847457627118644
1,rf,5333,0,2667,0.5,0.6462014462514648,0.006734006734006734,0.05820997686167382,0.003389830508474576,0.5,0.00042158516020236085,0.9966101694915255
1,xgb,5333,0,2667,0.5,0.5995126761368509,0.1583011583011583,0.358216540583618,0.13898305084745763,0.18385650224215247,0.07672849915682968,0.8610169491525423
1,lgbm,5333,0,2667,0.5,0.6081158716094549,0.12106537530266344,0.2853473322261391,0.0847457627118644,0.211864406779661,0.03920741989881956,0.9152542372881356
2,lr,5334,0,2666,0.5,0.6185947429747871,0.23992994746059546,0.5703852875203892,0.46440677966101696,0.1617473435655254,0.2994517081400253,0.535593220338983
2,rf,5334,0,2666,0.5,0.6145022124684572,0.006756756756756757,0.058222250973958195,0.003389830508474576,1.0,0.0,0.9966101694915255
2,xgb,5334,0,2666,0.5,0.5835826977103274,0.16287878787878787,0.36617212096871093,0.14576271186440679,0.18454935622317598,0.08013496415014762,0.8542372881355932
2,lgbm,5334,0,2666,0.5,0.592129474083023,0.13365155131264916,0.30178172119933633,0.09491525423728814,0.22580645161290322,0.04048924504428511,0.9050847457627119
