split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+7,Old,none,0.508016,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
split_1+7,Old,undersampling,0.606706,0.042743,0.148703,0.022150,0.607595,0.001705,0.977850
split_1+7,Old,oversampling,0.518034,0.158223,0.409540,0.198892,0.131362,0.156714,0.801108
split_1+7,Old,hybrid,0.534981,0.179080,0.494300,0.353946,0.119862,0.309689,0.646054
split_1+7,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_1+7,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_1+7,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_1+7,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_1+7,New,none,0.641528,0.021661,0.105167,0.011075,0.489796,0.001375,0.988925
split_1+7,New,undersampling,0.644029,0.030644,0.125197,0.015690,0.653846,0.000990,0.984310
split_1+7,New,oversampling,0.569290,0.192875,0.484379,0.298569,0.142448,0.214176,0.701431
split_1+7,New,hybrid,0.589592,0.220231,0.556349,0.453623,0.145414,0.317662,0.546377
split_2+6,Old,none,0.612150,0.008257,0.064438,0.004153,0.692308,0.000220,0.995847
split_2+6,Old,undersampling,0.618765,0.021729,0.105187,0.011075,0.571429,0.000990,0.988925
split_2+6,Old,oversampling,0.527295,0.151587,0.400649,0.190586,0.125838,0.157759,0.809414
split_2+6,Old,hybrid,0.562536,0.200509,0.525913,0.400092,0.133776,0.308699,0.599908
split_2+6,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_2+6,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_2+6,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_2+6,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_2+6,New,none,0.645785,0.010974,0.074399,0.005538,0.600000,0.000440,0.994462
split_2+6,New,undersampling,0.644389,0.033883,0.132284,0.017536,0.500000,0.002090,0.982464
split_2+6,New,oversampling,0.572507,0.193072,0.474176,0.277803,0.147948,0.190641,0.722197
split_2+6,New,hybrid,0.590586,0.219237,0.558881,0.470697,0.142897,0.336413,0.529303
split_3+5,Old,none,0.602957,0.032992,0.130528,0.017074,0.486842,0.002145,0.982926
split_3+5,Old,undersampling,0.620960,0.050309,0.161997,0.026304,0.575758,0.002309,0.973696
split_3+5,Old,oversampling,0.560631,0.185716,0.470180,0.277803,0.139481,0.204223,0.722197
split_3+5,Old,hybrid,0.567626,0.200556,0.521226,0.382557,0.135902,0.289838,0.617443
split_3+5,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_3+5,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_3+5,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_3+5,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_3+5,New,none,0.644397,0.027691,0.119471,0.014305,0.430556,0.002254,0.985695
split_3+5,New,undersampling,0.646858,0.031418,0.126997,0.016151,0.573770,0.001430,0.983849
split_3+5,New,oversampling,0.580001,0.205022,0.510964,0.342870,0.146231,0.238535,0.657130
split_3+5,New,hybrid,0.572351,0.202924,0.532708,0.419474,0.133834,0.323491,0.580526
split_4+4,Old,none,0.619665,0.042667,0.148687,0.022150,0.578313,0.001925,0.977850
split_4+4,Old,undersampling,0.612095,0.042124,0.148568,0.022150,0.428571,0.003519,0.977850
split_4+4,Old,oversampling,0.545960,0.179262,0.464357,0.273650,0.133288,0.212031,0.726350
split_4+4,Old,hybrid,0.569895,0.202183,0.528913,0.406091,0.134598,0.311118,0.593909
split_4+4,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_4+4,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_4+4,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_4+4,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_4+4,New,none,0.640989,0.009158,0.067918,0.004615,0.588235,0.000385,0.995385
split_4+4,New,undersampling,0.632594,0.050216,0.163218,0.026765,0.405594,0.004674,0.973235
split_4+4,New,oversampling,0.550425,0.178174,0.458106,0.262575,0.134834,0.200759,0.737425
split_4+4,New,hybrid,0.595306,0.216428,0.553663,0.457776,0.141714,0.330364,0.542224
split_5+3,Old,none,0.629983,0.015483,0.088542,0.007845,0.586207,0.000660,0.992155
split_5+3,Old,undersampling,0.634519,0.069966,0.194017,0.037840,0.463277,0.005224,0.962160
split_5+3,Old,oversampling,0.556132,0.187228,0.480523,0.297647,0.136566,0.224238,0.702353
split_5+3,Old,hybrid,0.578144,0.208703,0.548900,0.478080,0.133488,0.369790,0.521920
split_5+3,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_5+3,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_5+3,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_5+3,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_5+3,New,none,0.636808,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
split_5+3,New,undersampling,0.637948,0.007343,0.060753,0.003692,0.666667,0.000220,0.996308
split_5+3,New,oversampling,0.559095,0.175476,0.436448,0.227503,0.142816,0.162708,0.772497
split_5+3,New,hybrid,0.587434,0.207433,0.517873,0.356714,0.146235,0.248158,0.643286
split_6+2,Old,none,0.633589,0.021710,0.105181,0.011075,0.545455,0.001100,0.988925
split_6+2,Old,undersampling,0.634532,0.028623,0.121396,0.014767,0.463768,0.002035,0.985233
split_6+2,Old,oversampling,0.552738,0.198053,0.509559,0.352100,0.137775,0.262565,0.647900
split_6+2,Old,hybrid,0.584527,0.212680,0.550888,0.462852,0.138059,0.344331,0.537148
split_6+2,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_6+2,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_6+2,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_6+2,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_6+2,New,none,0.642886,0.013699,0.083180,0.006922,0.652174,0.000440,0.993078
split_6+2,New,undersampling,0.635323,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
split_6+2,New,oversampling,0.556587,0.167497,0.415542,0.201661,0.143232,0.143737,0.798339
split_6+2,New,hybrid,0.584073,0.205679,0.513908,0.349331,0.145745,0.243979,0.650669
split_7+1,Old,none,0.633325,0.004600,0.048032,0.002307,0.714286,0.000110,0.997693
split_7+1,Old,undersampling,0.635914,0.018174,0.096033,0.009229,0.588235,0.000770,0.990771
split_7+1,Old,oversampling,0.560504,0.189698,0.472861,0.278726,0.143775,0.197790,0.721274
split_7+1,Old,hybrid,0.585390,0.212158,0.545673,0.438856,0.139894,0.321511,0.561144
split_7+1,Old+New,none,0.638736,0.041796,0.147130,0.021689,0.573171,0.001925,0.978311
split_7+1,Old+New,undersampling,0.638151,0.065104,0.185720,0.034610,0.547445,0.003409,0.965390
split_7+1,Old+New,oversampling,0.572555,0.203992,0.502044,0.323027,0.149063,0.219729,0.676973
split_7+1,Old+New,hybrid,0.585566,0.212434,0.556103,0.503000,0.134651,0.385186,0.497000
split_7+1,New,none,0.634860,0.034775,0.134017,0.017997,0.513158,0.002035,0.982003
split_7+1,New,undersampling,0.634273,0.057516,0.174221,0.030457,0.515625,0.003409,0.969543
split_7+1,New,oversampling,0.568938,0.170673,0.413101,0.196585,0.150796,0.131915,0.803415
split_7+1,New,hybrid,0.591230,0.212336,0.527251,0.373327,0.148359,0.255361,0.626673
