model,metric,split,value,method,sampling,plot_role
RF,AUC,split_1+15,0.636291,Old,none,point
RF,AUC,split_1+15,0.862087,New,undersampling,point
TabM,AUC,split_1+15,0.642756,Old,undersampling,point
TabM,AUC,split_1+15,0.813993,New,hybrid,point
XGB,AUC,split_1+15,0.581818,Old,oversampling,point
XGB,AUC,split_1+15,0.861954,New,undersampling,point
RF,AUC,split_10+6,0.795521,Old,undersampling,point
RF,AUC,split_10+6,0.871585,New,none,point
TabM,AUC,split_10+6,0.731294,Old,undersampling,point
TabM,AUC,split_10+6,0.844781,New,hybrid,point
XGB,AUC,split_10+6,0.776521,Old,hybrid,point
XGB,AUC,split_10+6,0.882538,New,none,point
RF,AUC,split_11+5,0.801864,Old,none,point
RF,AUC,split_11+5,0.863447,New,undersampling,point
TabM,AUC,split_11+5,0.760415,Old,none,point
TabM,AUC,split_11+5,0.838200,New,hybrid,point
XGB,AUC,split_11+5,0.788793,Old,hybrid,point
XGB,AUC,split_11+5,0.883803,New,none,point
RF,AUC,split_12+4,0.817054,Old,undersampling,point
RF,AUC,split_12+4,0.859914,New,undersampling,point
TabM,AUC,split_12+4,0.760538,Old,undersampling,point
TabM,AUC,split_12+4,0.828201,New,hybrid,point
XGB,AUC,split_12+4,0.799190,Old,hybrid,point
XGB,AUC,split_12+4,0.881468,New,undersampling,point
RF,AUC,split_13+3,0.816409,Old,none,point
RF,AUC,split_13+3,0.870077,New,none,point
TabM,AUC,split_13+3,0.771391,Old,none,point
TabM,AUC,split_13+3,0.841796,New,hybrid,point
XGB,AUC,split_13+3,0.801899,Old,none,point
XGB,AUC,split_13+3,0.882389,New,undersampling,point
RF,AUC,split_14+2,0.835593,Old,none,point
RF,AUC,split_14+2,0.860097,New,none,point
TabM,AUC,split_14+2,0.773156,Old,undersampling,point
TabM,AUC,split_14+2,0.808172,New,hybrid,point
XGB,AUC,split_14+2,0.832404,Old,none,point
XGB,AUC,split_14+2,0.865361,New,none,point
RF,AUC,split_15+1,0.840689,Old,undersampling,point
RF,AUC,split_15+1,0.865850,New,none,point
TabM,AUC,split_15+1,0.786829,Old,hybrid,point
TabM,AUC,split_15+1,0.750452,New,hybrid,point
XGB,AUC,split_15+1,0.841426,Old,undersampling,point
XGB,AUC,split_15+1,0.859040,New,none,point
RF,AUC,split_2+14,0.646613,Old,none,point
RF,AUC,split_2+14,0.863266,New,undersampling,point
TabM,AUC,split_2+14,0.655607,Old,undersampling,point
TabM,AUC,split_2+14,0.806136,New,hybrid,point
XGB,AUC,split_2+14,0.660563,Old,hybrid,point
XGB,AUC,split_2+14,0.861813,New,undersampling,point
RF,AUC,split_3+13,0.679717,Old,hybrid,point
RF,AUC,split_3+13,0.863128,New,undersampling,point
TabM,AUC,split_3+13,0.652959,Old,undersampling,point
TabM,AUC,split_3+13,0.824664,New,hybrid,point
XGB,AUC,split_3+13,0.654389,Old,hybrid,point
XGB,AUC,split_3+13,0.860360,New,undersampling,point
RF,AUC,split_4+12,0.702879,Old,none,point
RF,AUC,split_4+12,0.870072,New,undersampling,point
TabM,AUC,split_4+12,0.626119,Old,undersampling,point
TabM,AUC,split_4+12,0.831463,New,hybrid,point
XGB,AUC,split_4+12,0.665793,Old,hybrid,point
XGB,AUC,split_4+12,0.884597,New,none,point
RF,AUC,split_5+11,0.712064,Old,undersampling,point
RF,AUC,split_5+11,0.872628,New,none,point
TabM,AUC,split_5+11,0.636814,Old,undersampling,point
TabM,AUC,split_5+11,0.843349,New,hybrid,point
XGB,AUC,split_5+11,0.693531,Old,hybrid,point
XGB,AUC,split_5+11,0.892322,New,undersampling,point
RF,AUC,split_6+10,0.714703,Old,none,point
RF,AUC,split_6+10,0.871029,New,none,point
TabM,AUC,split_6+10,0.666902,Old,none,point
TabM,AUC,split_6+10,0.848943,New,hybrid,point
XGB,AUC,split_6+10,0.695014,Old,none,point
XGB,AUC,split_6+10,0.882047,New,undersampling,point
RF,AUC,split_7+9,0.711041,Old,none,point
RF,AUC,split_7+9,0.870846,New,undersampling,point
