split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_1+15,Old,none,0.619726,0.066026,0.570344,0.466899,0.035525,0.303293,0.533101
split_1+15,Old,undersampling,0.609952,0.062649,0.593576,0.641115,0.032934,0.450438,0.358885
split_1+15,Old,oversampling,0.618186,0.061644,0.588423,0.627178,0.032415,0.447937,0.372822
split_1+15,Old,hybrid,0.604191,0.057263,0.521335,0.379791,0.030966,0.284368,0.620209
split_1+15,New,none,0.846194,0.211615,0.656565,0.463415,0.137113,0.069779,0.536585
split_1+15,New,undersampling,0.849350,0.196286,0.685237,0.515679,0.121212,0.089454,0.484321
split_1+15,New,oversampling,0.801845,0.140036,0.603825,0.407666,0.084538,0.105627,0.592334
split_1+15,New,hybrid,0.813455,0.148219,0.680702,0.536585,0.085985,0.136474,0.463415
split_1+15,Retrain,none,0.840931,0.185629,0.696261,0.540070,0.112075,0.102376,0.459930
split_1+15,Retrain,undersampling,0.841997,0.207337,0.649118,0.452962,0.134436,0.069779,0.547038
split_1+15,Retrain,oversampling,0.795268,0.142511,0.665309,0.512195,0.082770,0.135807,0.487805
split_1+15,Retrain,hybrid,0.816608,0.155647,0.643129,0.463415,0.093530,0.107461,0.536585
split_1+15,Finetune,none,0.824191,0.194587,0.653321,0.463415,0.123148,0.078950,0.536585
split_1+15,Finetune,undersampling,0.825633,0.179125,0.649823,0.463415,0.111018,0.088787,0.536585
split_1+15,Finetune,oversampling,0.753118,0.107836,0.630420,0.484321,0.060672,0.179408,0.515679
split_1+15,Finetune,hybrid,0.766982,0.114041,0.688067,0.602787,0.062978,0.214589,0.397213
split_2+14,Old,none,0.611751,0.048948,0.386572,0.174216,0.028474,0.142226,0.825784
split_2+14,Old,undersampling,0.610978,0.041708,0.262501,0.073171,0.029167,0.058274,0.926829
split_2+14,Old,oversampling,0.639202,0.069949,0.617906,0.623693,0.037052,0.387828,0.376307
split_2+14,Old,hybrid,0.660312,0.070040,0.624041,0.665505,0.036965,0.414840,0.334495
split_2+14,New,none,0.849947,0.230284,0.687967,0.508711,0.148828,0.069612,0.491289
split_2+14,New,undersampling,0.851012,0.207207,0.713618,0.560976,0.127072,0.092205,0.439024
split_2+14,New,oversampling,0.804663,0.138563,0.642674,0.473868,0.081146,0.128387,0.526132
split_2+14,New,hybrid,0.821459,0.156712,0.663560,0.498258,0.092978,0.116298,0.501742
split_2+14,Finetune,none,0.821129,0.171543,0.639303,0.449477,0.105998,0.090704,0.550523
split_2+14,Finetune,undersampling,0.825314,0.187126,0.634026,0.435540,0.119161,0.077032,0.564460
split_2+14,Finetune,oversampling,0.757963,0.105049,0.653531,0.540070,0.058183,0.209170,0.459930
split_2+14,Finetune,hybrid,0.789983,0.126731,0.603118,0.414634,0.074796,0.122718,0.585366
split_3+13,Old,none,0.645406,0.061356,0.416579,0.198606,0.036283,0.126219,0.801394
split_3+13,Old,undersampling,0.628794,0.059514,0.453388,0.247387,0.033826,0.169070,0.752613
split_3+13,Old,oversampling,0.661516,0.068578,0.623252,0.787456,0.035850,0.506711,0.212544
split_3+13,Old,hybrid,0.674587,0.069594,0.620806,0.651568,0.036760,0.408504,0.348432
split_3+13,New,none,0.858581,0.250464,0.666827,0.470383,0.170670,0.054689,0.529617
split_3+13,New,undersampling,0.851858,0.253347,0.639161,0.428571,0.179825,0.046769,0.571429
split_3+13,New,oversampling,0.807827,0.142704,0.638457,0.463415,0.084337,0.120383,0.536585
split_3+13,New,hybrid,0.824989,0.171803,0.643678,0.456446,0.105816,0.092288,0.543554
split_3+13,Finetune,none,0.836171,0.180258,0.679030,0.512195,0.109375,0.099792,0.487805
split_3+13,Finetune,undersampling,0.836772,0.165000,0.707614,0.574913,0.096322,0.129054,0.425087
split_3+13,Finetune,oversampling,0.770074,0.118461,0.634175,0.477352,0.067621,0.157482,0.522648
split_3+13,Finetune,hybrid,0.789071,0.129128,0.628604,0.456446,0.075201,0.134306,0.543554
split_4+12,Old,none,0.664619,0.079867,0.469756,0.250871,0.047493,0.120383,0.749129
split_4+12,Old,undersampling,0.666301,0.073054,0.434878,0.212544,0.044107,0.110213,0.787456
split_4+12,Old,oversampling,0.681634,0.074296,0.615822,0.560976,0.039783,0.323968,0.439024
split_4+12,Old,hybrid,0.684433,0.074614,0.631226,0.623693,0.039681,0.361150,0.376307
split_4+12,New,none,0.856500,0.246180,0.688335,0.505226,0.162738,0.062193,0.494774
split_4+12,New,undersampling,0.859035,0.251969,0.686993,0.501742,0.168224,0.059358,0.498258
split_4+12,New,oversampling,0.816885,0.145078,0.560325,0.341463,0.092105,0.080534,0.658537
split_4+12,New,hybrid,0.835182,0.184290,0.626626,0.425087,0.117647,0.076282,0.574913
