old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.8242,0.8256,0.7531,0.7670,0.7925
2+14,0.8211,0.8253,0.7580,0.7900,0.7986
3+13,0.8362,0.8368,0.7701,0.7891,0.8080
4+12,0.8310,0.8354,0.7776,0.7970,0.8103
5+11,0.8393,0.8390,0.7827,0.7992,0.8151
6+10,0.8344,0.8417,0.7841,0.8050,0.8163
7+9,0.8401,0.8458,0.7830,0.8108,0.8199
8+8,0.8396,0.8433,0.7951,0.8126,0.8227
9+7,0.8475,0.8545,0.7980,0.8179,0.8295
10+6,0.8548,0.8545,0.8024,0.8181,0.8325
11+5,0.8594,0.8550,0.8066,0.8186,0.8349
12+4,0.8537,0.8513,0.8120,0.8218,0.8347
13+3,0.8627,0.8574,0.8108,0.8290,0.8400
14+2,0.8648,0.8628,0.8158,0.8263,0.8424
15+1,0.8630,0.8749,0.8218,0.8218,0.8454
avg,0.8448,0.8469,0.7914,0.8083,0.8228
