old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1946,0.1791,0.1078,0.1140,0.1489
2+14,0.1715,0.1871,0.1050,0.1267,0.1476
3+13,0.1803,0.1650,0.1185,0.1291,0.1482
4+12,0.1975,0.1969,0.1204,0.1333,0.1620
5+11,0.1922,0.1835,0.1159,0.1341,0.1564
6+10,0.1872,0.1999,0.1231,0.1395,0.1624
7+9,0.1749,0.1851,0.1195,0.1330,0.1531
8+8,0.1838,0.2029,0.1280,0.1337,0.1621
9+7,0.1943,0.1982,0.1369,0.1635,0.1732
10+6,0.2043,0.1942,0.1393,0.1555,0.1733
11+5,0.2106,0.2125,0.1441,0.1428,0.1775
12+4,0.2236,0.2010,0.1464,0.1563,0.1818
13+3,0.2090,0.2097,0.1450,0.1586,0.1806
14+2,0.2073,0.2078,0.1430,0.1525,0.1776
15+1,0.2088,0.2206,0.1542,0.1612,0.1862
avg,0.1960,0.1962,0.1298,0.1422,0.1661
