new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2116,0.1963,0.1400,0.1482,0.1740
14yr,0.2303,0.2072,0.1386,0.1567,0.1832
13yr,0.2505,0.2533,0.1427,0.1718,0.2046
12yr,0.2462,0.2520,0.1451,0.1843,0.2069
11yr,0.2373,0.2222,0.1541,0.1827,0.1991
10yr,0.2326,0.2591,0.1517,0.1844,0.2070
9yr,0.2364,0.2772,0.1481,0.1844,0.2115
8yr,0.2733,0.2302,0.1618,0.1747,0.2100
7yr,0.2771,0.2647,0.1612,0.1922,0.2238
6yr,0.2406,0.2342,0.1543,0.1799,0.2023
5yr,0.2869,0.2850,0.1570,0.1880,0.2292
4yr,0.2883,0.2496,0.1679,0.1952,0.2253
3yr,0.2638,0.2300,0.1740,0.1962,0.2160
2yr,0.2268,0.2622,0.1565,0.1983,0.2109
1yr,0.2097,0.2458,0.1705,0.1426,0.1921
avg,0.2474,0.2446,0.1549,0.1786,0.2064
