old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6533,0.6498,0.6304,0.6881,0.6554
2+14,0.6393,0.6340,0.6535,0.6031,0.6325
3+13,0.6790,0.7076,0.6342,0.6286,0.6624
4+12,0.6245,0.6450,0.5961,0.6345,0.6250
5+11,0.6781,0.6839,0.6326,0.6309,0.6564
6+10,0.6789,0.6566,0.6565,0.6583,0.6626
7+9,0.7060,0.6863,0.6843,0.7006,0.6943
8+8,0.7127,0.7087,0.6241,0.6948,0.6851
9+7,0.6683,0.6957,0.6341,0.6639,0.6655
10+6,0.7110,0.7159,0.6798,0.6631,0.6924
11+5,0.7183,0.6929,0.6944,0.7387,0.7111
12+4,0.6783,0.7024,0.6763,0.7141,0.6927
13+3,0.7217,0.7004,0.6121,0.7135,0.6869
14+2,0.7098,0.7271,0.6835,0.7187,0.7098
avg,0.6842,0.6862,0.6494,0.6751,0.6737
