old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5703,0.5936,0.5884,0.5213,0.5684
2yr,0.3866,0.2625,0.6179,0.6240,0.4728
3yr,0.4166,0.4534,0.6233,0.6208,0.5285
4yr,0.4698,0.4349,0.6158,0.6312,0.5379
5yr,0.4990,0.3982,0.5876,0.5692,0.5135
6yr,0.4052,0.4375,0.5181,0.5833,0.4860
7yr,0.4582,0.4333,0.5544,0.5742,0.5050
8yr,0.4612,0.4930,0.5334,0.6357,0.5308
9yr,0.4831,0.5500,0.5910,0.6363,0.5651
10yr,0.5962,0.5805,0.6755,0.5644,0.6042
11yr,0.5807,0.6183,0.6480,0.6899,0.6342
12yr,0.6527,0.6282,0.6506,0.6413,0.6432
13yr,0.6365,0.6124,0.6483,0.6573,0.6386
14yr,0.6241,0.6340,0.6129,0.6571,0.6320
15yr,0.6253,0.6509,0.5786,0.6069,0.6154
avg,0.5244,0.5187,0.6029,0.6142,0.5650
